G179 - Побуждение к нескольким собеседникам
Читайте! (leggere);Leggete!
Купите книгу! (comprare, il libro);Comprate il libro!
Работайте! (lavorare);Lavorate!
Спите! (dormire);Dormite!
Пишите письма! (scrivere, lettera);Scrivete le lettere!
Ешьте хлеб! (mangiare, il pane);Mangiate il pane!
Откройте окно! (aprire, la finestra);Aprite la finestra!
Закройте дверь! (chiudere, la porta);Chiudete la porta!
Ждите здесь! (aspettare, qui);Aspettate qui!
Говорите с Марией! (parlare, Maria);Parlate con Maria!
Уберите комнату! (pulire, la stanza);Pulite la stanza!
Слушайте маму! (ascoltare, la mamma);Ascoltate la mamma!
