G181 - Vai / fai / dai / stai в командах
Иди домой (andare)!;Vai a casa!
Сделай подарок (fare, un regalo)!;Fai un regalo!
Иди туда (andare)!;Vai lì!
Оставайся здесь (stare)!;Stai qui!
Дай книгу Анне (dare, il libro)!;Dai il libro ad Anna!
Сделай кофе (fare, un caffè)!;Fai un caffè!
Иди на работу (andare, il lavoro)!;Vai al lavoro!
Будь спокоен (stare)!;Stai tranquillo!
Иди к врачу (andare, il dottore)!;Vai dal dottore!
Оставайся со мной (stare, con me)!;Stai con me!
Дай воду детям (dare, l'acqua)!;Dai l'acqua ai bambini!
Иди в школу (andare, scuola)!;Vai a scuola!
