G183 - Совместное побуждение: «давайте»
Давайте работать (lavorare)!;Lavoriamo!
Давайте купим книгу (comprare, il libro)!;Compriamo il libro!
Давайте поедим (mangiare)!;Mangiamo!
Давайте выпьем кофе (bere, un caffè)!;Beviamo un caffè!
Давайте пойдём домой (andare)!;Andiamo a casa!
Давайте почитаем (leggere)!;Leggiamo!
Давайте напишем письмо (scrivere, una lettera)!;Scriviamo una lettera!
Давайте останемся здесь (stare)!;Stiamo qui!
Давайте сделаем подарок (fare, un regalo)!;Facciamo un regalo!
Давайте купим воду (comprare, l'acqua)!;Compriamo l'acqua!
Давайте откроем окно (aprire, la finestra)!;Apriamo la finestra!
Давайте подождём Анну (aspettare)!;Aspettiamo Anna!
Давайте пойдём в город (andare, in città)!;Andiamo in città!
