G191 - Местоимение в отрицательной команде
Не её покупай! (comprare, il libro);Non lo comprare!;Речь о книге.
Не покупай её! (comprare, il libro);Non comprarlo!;Речь о книге.
Не это говори! (dire);Non lo dire!
Не говори это! (dire);Non dirlo!
Не это делай! (fare);Non lo fare!
Не делай это! (fare);Non farlo!
Не бери её! (prendere);Non prenderla!
Не жди нас! (aspettare);Non aspettarci!
Не звони мне! (chiamare);Non chiamarmi!
Не читай их! (leggere, le lettere);Non leggerle!
Не смотри его! (guardare);Non guardarlo!
Не открывай её! (aprire);Non aprirla!
Не продавай её! (vendere);Non venderla!
