G192 - Клитик после краткой команды
Скажи мне! (dire);Dimmi!
Сделай мне подарок! (fare, un regalo);Fammi un regalo!
Дай ему книгу! (dare, il libro);Dagli il libro!
Скажи мне правду! (dire, la verità);Dimmi la verità!
Сделай это сейчас! (fare);Fallo subito!
Скажи ей правду! (dire, la verità);Dille la verità!
Дай мне руку! (dare, la mano);Dammi la mano!
Сделай мне кофе! (fare, un caffè);Fammi un caffè!
Скажи мне всё! (dire, tutto);Dimmi tutto!
Сделай ей подарок! (fare, un regalo);Falle un regalo!
Дай мне книгу! (dare, il libro);Dammi il libro!
Скажи ему адрес! (dire, l'indirizzo);Digli l'indirizzo!
