G193 - Инфинитив в общей инструкции
Не курить (fumare);Non fumare
Хранить здесь (conservare);Conservare qui
Толкать (spingere);Spingere
Тянуть (tirare);Tirare
Не входить (entrare);Non entrare
Закрывать дверь (chiudere, la porta);Chiudere la porta
Не трогать (toccare);Non toccare
Мыть руки (lavarsi, le mani);Lavarsi le mani
Не шуметь (fare);Non fare rumore
Ждать здесь (aspettare);Aspettare qui
Готовить пасту десять минут (cucinare, la pasta);Cucinare la pasta per dieci minuti
Не парковаться здесь (parcheggiare);Non parcheggiare qui
Хранить в холодильнике (conservare, in frigo);Conservare in frigo
