G203 - Andare: основа andr-
Я пойду домой (andare);Andrò a casa
Ты пойдёшь в школу (andare, a scuola);Andrai a scuola
Папа пойдёт в город (andare, il papà, in città);Il papà andrà in città
Мы пойдём в кино (andare, il cinema);Andremo al cinema
Вы пойдёте на работу? (andare, il lavoro);Andrete al lavoro?
Они пойдут домой (andare);Andranno a casa
Я не пойду завтра (andare);Non andrò domani
Куда ты пойдёшь? (andare);Dove andrai?
Мама пойдёт в магазин (andare, la mamma, il negozio);La mamma andrà al negozio
Мы пойдём вместе (andare);Andremo insieme
Когда вы пойдёте? (andare);Quando andrete?
Дети пойдут в парк (andare, il parco);I bambini andranno al parco
