G209 - Venire: особая основа verr-
Я приду завтра (venire);Verrò domani
Ты придёшь сегодня вечером? (venire);Verrai stasera?
Он придёт с нами (venire);Verrà con noi
Мы придём рано (venire);Verremo presto
Вы придёте на праздник? (venire, la festa);Verrete alla festa?
Они придут домой (venire);Verranno a casa
Я не приду в пятницу (venire, venerdì);Non verrò venerdì
Мария придёт завтра? (venire);Maria verrà domani?
Дети придут с мамой (venire);I bambini verranno con la mamma
Когда ты придёшь? (venire);Quando verrai?
Мы придём к тебе (venire);Verremo da te
Вы придёте поздно? (venire);Verrete tardi?
