G218 - Ne обозначает отсчитанную часть известного множества
У меня их три (avere, tre, il libro);Ne ho tre;Речь о ранее названных книгах.
У тебя их два (avere, due, il fratello);Ne hai due;Речь о братьях.
У него их четыре (avere, quattro, la sorella);Ne ha quattro;Речь о сёстрах.
У нас их двое (avere, due, il figlio);Ne abbiamo due;Речь о детях.
У вас их много (avere, molto, la domanda);Ne avete molte;Речь о вопросах, которые уже называли.
Сколько их у тебя (quanto, il libro)?;Quanti ne hai?;Речь о книгах.
У меня их пять (avere, la mela);Ne ho cinque;Речь о яблоках.
Я хочу их две (volere, la pera);Ne voglio due;Речь о грушах.
У меня их мало (avere, poco, il soldo);Ne ho pochi;Речь о деньгах.
Я беру их три (prendere, la pera);Ne prendo tre;Речь о грушах.
У вас их трое (avere, tre, il figlio)?;Ne avete tre?;Речь о детях.
