G225 - Возвратное и местоименное действие в passato prossimo
Анна проснулась (svegliarsi);Anna si è svegliata
Анна приготовила себе ужин (prepararsi, la cena);Anna si è preparata la cena
Лука проснулся рано (svegliarsi);Luca si è svegliato presto
Мы встали в семь (alzarsi);Ci siamo alzati alle sette;Речь о группе юношей.
Вы отдохнули (riposarsi);Vi siete riposati;Речь о группе юношей.
Они остановились здесь (fermarsi, qui);Si sono fermati qui;Речь о друзьях.
Анна и Мария проснулись поздно (svegliarsi);Anna e Maria si sono svegliate tardi
Я не проснулся рано (svegliarsi);Non mi sono svegliato presto
Ты встала в шесть? (alzarsi);Ti sei alzata alle sei?
Мальчики остановились там (fermarsi, lì);I ragazzi si sono fermati lì
Я купил себе книгу (comprarsi, un libro);Mi sono comprato un libro
Ты приготовила себе ужин (prepararsi, la cena);Ti sei preparata la cena
Девочки встали поздно (alzarsi);Le ragazze si sono alzate tardi
