G233 - Возвратность, модальность и выбор вспомогательного
Мне пришлось встать (dovere alzarsi, essere);Mi sono dovuto alzare;Речь о юноше.
Мне пришлось встать (dovere alzarsi, avere);Ho dovuto alzarmi
Тебе пришлось рано проснуться (dovere svegliarsi, presto, essere);Ti sei dovuto svegliare presto;Речь о юноше.
Марко пришлось остановиться (dovere fermarsi, avere);Marco ha dovuto fermarsi
Анне пришлось остановиться (dovere fermarsi, essere);Anna si è dovuta fermare
Нам пришлось помыться (dovere lavarsi, essere);Ci siamo dovuti lavare;Речь о группе юношей.
Я не хотел вставать (volere alzarsi, avere);Non ho voluto alzarmi
Она не хотела вставать (volere alzarsi, essere);Non si è voluta alzare
Ты смог отдохнуть (potere riposarsi, essere);Ti sei potuto riposare
Мы смогли отдохнуть (potere riposarsi, avere);Abbiamo potuto riposarci
Дети хотели одеться (volere vestirsi, avere);I bambini hanno voluto vestirsi
Она смогла одеться (potere vestirsi, essere);Si è potuta vestire
