G248 - Тоже: область действия anche
Анна тоже работает (lavorare);Anche Anna lavora
Марко тоже читает (leggere);Anche Marco legge
Я тоже хочу кофе (volere, il caffè);Anche io voglio il caffè
Я покупаю также хлеб (comprare, il pane);Compro anche il pane
Мы тоже идём в кино (andare, il cinema);Anche noi andiamo al cinema
Дети тоже спят (dormire);Anche i bambini dormono
Ты тоже знаешь ответ (sapere, la risposta);Anche tu sai la risposta
Лука тоже пьёт вино (bere, il vino);Anche Luca beve il vino
Мария тоже изучает итальянский (studiare, l'italiano);Anche Maria studia l'italiano
Я читаю также газету (leggere, il giornale);Leggo anche il giornale
Ты тоже идёшь на работу (andare, il lavoro);Anche tu vai al lavoro
Моя мама тоже готовит (cucinare);Anche mia madre cucina
