G254 - Отрицательное слово перед глаголом без non
Никто не работает (lavorare);Nessuno lavora
Ничего не меняется (cambiare);Niente cambia
Никто не отвечает (rispondere);Nessuno risponde
Здесь никто не спит (dormire, qui);Qui nessuno dorme
Никто не говорит (parlare);Nessuno parla
Ничего не работает (funzionare);Niente funziona
Никто не приходит (venire);Nessuno viene
Никто не входит (entrare);Nessuno entra
Сегодня ничего не меняется (cambiare, oggi);Oggi niente cambia
Никто не ждёт (aspettare);Nessuno aspetta
Завтра никто не работает (lavorare, domani);Domani nessuno lavora
Никто не звонит (telefonare);Nessuno telefona
