G260 - Только: область действия solo
Только Анна работает (lavorare);Solo Anna lavora
Только Лука пьёт кофе (bere, caffè);Solo Luca beve caffè
Я читаю только книги (leggere, libri);Leggo solo libri
Мы работаем только днём (lavorare, di giorno);Lavoriamo solo di giorno
Магазин открывается только утром (aprire, il negozio, la mattina);Il negozio apre solo la mattina
Только мама готовит вечером (cucinare, la mamma, la sera);Solo la mamma cucina la sera
Он говорит только по-итальянски (parlare, in italiano);Parla solo in italiano
У меня только одна сумка (avere, una borsa);Ho solo una borsa
Дети едят только пасту (mangiare, i bambini, pasta);I bambini mangiano solo pasta
Только они знают ответ (sapere, la risposta);Solo loro sanno la risposta
Ты работаешь только здесь (lavorare, qui);Lavori solo qui
Мы пьём только воду (bere, acqua);Beviamo solo acqua
