G266 - Lo вместо содержания утверждения
Я это знаю (sapere);Lo so
Ты это знаешь? (sapere);Lo sai?
Я знаю, работает ли Анна (sapere, lavorare);So se Anna lavora
Я вижу, что Марко читает (vedere, leggere);Vedo che Marco legge
Я говорю, что Анна не работает (dire, lavorare);Dico che Anna non lavora
Все знают, что Анна работает и читает (sapere, tutto);Tutti sanno che Anna lavora e legge
Я знаю, что это правда (sapere, essere vero);So che è vero
Я не знаю, где живёт Анна (sapere, abitare);Non so dove abita Anna
Анна знает, что кофе хороший (sapere, il caffè);Anna sa che il caffè è buono
Я всем говорю, что Марко работает (dire, tutto);Dico a tutti che Marco lavora
Я знаю, что книга интересная (sapere, interessante);So che il libro è interessante
