G299 - Местоимение перед вежливой командой
Скажите мне! (dire);Mi dica!
Дайте мне книгу! (dare, il libro);Mi dia il libro!
Скажите мне правду! (dire, la verità);Mi dica la verità!
Напишите мне! (scrivere);Mi scriva!
Напишите ей! (scrivere);Le scriva!
Извините меня! (scusare);Mi scusi!
Сделайте мне кофе! (fare, un caffè);Mi faccia un caffè!
Скажите мне это! (dire);Me lo dica!
Помогите мне! (aiutare);Mi aiuti!
Принесите мне хлеб! (portare, il pane);Mi porti il pane!
Позвоните мне вечером! (chiamare);Mi chiami stasera!
Не говорите мне этого! (dire);Non mi dica questo!
