G319 - Прошлое условие — нынешнее следствие
Если бы я купил дом, сейчас жил бы там (comprare, la casa, abitare, lì);Se avessi comprato la casa, ora abiterei lì
Если бы я отдохнул, сейчас не был бы уставшим (riposarsi, stanco);Se mi fossi riposato, ora non sarei stanco
Если бы она приняла лекарство, сейчас ей было бы лучше (prendere, la medicina, stare meglio);Se avesse preso la medicina, ora starebbe meglio
Если бы ты поел, сейчас не был бы голодным (mangiare, fame);Se avessi mangiato, ora non avresti fame
Если бы ты выпил кофе, сейчас бы не спал (bere, il caffè, sveglio);Se avessi bevuto il caffè, ora saresti sveglio
Если бы мы сели на тот поезд, сейчас были бы там (prendere, il treno, lì);Se avessimo preso il treno, ora saremmo lì
Если бы он пришёл раньше, сейчас был бы здесь (venire, prima, qui);Se fosse venuto prima, ora sarebbe qui
Если бы я занимался, сейчас знал бы ответ (studiare, sapere, la risposta);Se avessi studiato, ora saprei la risposta
Если бы она сказала правду, сейчас мы были бы спокойны (dire, la verità, tranquillo);Se avesse detto la verità, ora saremmo tranquilli
Если бы он продал машину, сейчас был бы богат (vendere, la macchina, ricco);Se avesse venduto la macchina, ora sarebbe ricco
Если бы мы выехали раньше, сейчас были бы в Риме (partire, prima, Roma);Se fossimo partiti prima, ora saremmo a Roma
