G364 - Выделить участника: è…che
Именно Анна работает (lavorare);È Anna che lavora
Именно Марко готовит (cucinare);È Marco che cucina
Именно я читаю газету (leggere, il giornale);Sono io che leggo il giornale
Именно ты опаздываешь (arrivare tardi);Sei tu che arrivi tardi
Именно мы ждём автобус (aspettare, l'autobus);Siamo noi che aspettiamo l'autobus
Именно эту книгу я покупаю (comprare, libro);È questo libro che compro
Именно кофе он пьёт утром (bere, il caffè, la mattina);È il caffè che beve la mattina
Именно ребёнок моет посуду (lavare, i piatti);È il bambino che lava i piatti
Именно Анна написала письмо (scrivere, la lettera);È Anna che ha scritto la lettera
Именно ты это сказал (dire, questo)?;Sei tu che l'hai detto?
Именно они играют в саду (giocare, il giardino);Sono loro che giocano nel giardino
Именно папа покупает хлеб (comprare, il papà, il pane);È il papà che compra il pane
