G373 - Нерегулярное множественное число
Мужчина работает (lavorare, l'uomo);L'uomo lavora
Мужчины работают (lavorare, l'uomo);Gli uomini lavorano
Мужчина читает книгу (leggere, l'uomo, il libro);L'uomo legge il libro
Мужчины читают газету (leggere, l'uomo, il giornale);Gli uomini leggono il giornale
Я жду мужчину (aspettare, uomo);Aspetto un uomo
Я жду двух мужчин (aspettare, l'uomo);Aspetto due uomini
Мужчины приходят (venire, l'uomo);Gli uomini vengono
У мужчины есть дом (avere, l'uomo, una casa);L'uomo ha una casa
Мужчины пьют кофе (bere, l'uomo, il caffè);Gli uomini bevono il caffè
Усталый мужчина спит (dormire, l'uomo);L'uomo stanco dorme
Усталые мужчины спят (dormire, l'uomo);Gli uomini stanchi dormono
Двое мужчин работают (lavorare, l'uomo);Due uomini lavorano
