G375 - Определённый артикль для класса в целом
Книги полезны (libro);I libri sono utili
Вода важна (l'acqua);L'acqua è importante
Хлеб важен (il pane);Il pane è importante
Семья важна (la famiglia);La famiglia è importante
Дети играют (giocare, bambino);I bambini giocano
Кошки много спят (dormire, gatto);I gatti dormono molto
Яблоки вкусные (mela);Le mele sono buone
Вино хорошее (il vino);Il vino è buono
Музыка красивая (la musica);La musica è bella
Машины дорогие (macchina);Le macchine sono care
Кофе горький (il caffè);Il caffè è amaro
Собаки верные (cane);I cani sono fedeli
Города шумные (città);Le città sono rumorose
