G398 - Passato remoto у -ire
Я уехал (partire);Partii
Они уехали (partire);Partirono
Марко уехал утром (partire, la mattina);Marco partì la mattina
Ты уехал рано? (partire);Partisti presto?
Мы уехали вечером (partire, la sera);Partimmo la sera
Я спал хорошо (dormire);Dormii bene
Дети спали два часа (dormire);I bambini dormirono due ore
Я открыл окно (aprire, la finestra);Aprii la finestra
Я услышал шум (sentire, un rumore);Sentii un rumore
Мы услышали голос (sentire, una voce);Sentimmo una voce
Я закончил работу (finire, il lavoro);Finii il lavoro
Ты сразу понял? (capire);Capisti subito?
Когда вы уехали? (partire);Quando partiste?
