G399 - Им: множественный адресат gli
Я пишу им (scrivere);Gli scrivo
Я пишу друзьям каждый день (scrivere);Gli scrivo ogni giorno
Я говорю им правду (dire, la verità);Gli dico la verità
Я отвечаю им завтра (rispondere);Gli rispondo domani
Я даю им книгу (dare, il libro);Gli do il libro
Я звоню им вечером (telefonare);Gli telefono la sera
Им нравится этот город (piacere);Gli piace questa città
Им нравятся эти песни (piacere, canzone);Gli piacciono queste canzoni
Я покупаю им хлеб (comprare, il pane);Gli compro il pane
Я объясняю им правило (spiegare, la regola);Gli spiego la regola
Я спрашиваю у них дорогу (chiedere, la strada);Gli chiedo la strada
Я не пишу им сегодня (scrivere);Non gli scrivo oggi
