G429 - Prendersela: обижаться
Анна обижается (prendersela);Anna se la prende
Я обижаюсь (prendersela);Me la prendo
Ты обижаешься? (prendersela);Te la prendi?
Папа не обижается (prendersela);Papà non se la prende
Мы обижаемся (prendersela);Ce la prendiamo
Вы тоже обижаетесь? (prendersela);Anche voi ve la prendete?
Дети обижаются (prendersela);I bambini se la prendono
Я не обижаюсь (prendersela);Non me la prendo
Мария обижается на меня (prendersela);Maria se la prende con me
Почему Анна обижается? (perché, prendersela);Perché Anna se la prende?
Не обижайся (prendersela);Non te la prendere
Бабушка не обижается на дедушку (prendersela);La nonna non se la prende con il nonno
