G433 - Dare per scontato che: считать само собой разумеющимся
Я считаю само собой разумеющимся, что Анна готова (dare per scontato, essere, pronto);Do per scontato che Anna sia pronta
Ты считаешь само собой разумеющимся, что работа лёгкая (dare per scontato, il lavoro, essere facile)?;Dai per scontato che il lavoro sia facile?
Анна считает само собой разумеющимся, что Марко дома (dare per scontato, essere a casa);Anna dà per scontato che Marco sia a casa
Мы считаем само собой разумеющимся, что Анна больна (dare per scontato, essere, malato);Diamo per scontato che Anna sia malata
Вы считаете само собой разумеющимся, что магазин открыт (dare per scontato, il negozio, essere aperto)?;Date per scontato che il negozio sia aperto?
Они считают само собой разумеющимся, что у Марко есть время (dare per scontato, avere, tempo);Danno per scontato che Marco abbia tempo
Я считаю само собой разумеющимся, что Анна спит (dare per scontato, dormire);Do per scontato che Anna dorma
Ты считаешь само собой разумеющимся, что Анна не готова (dare per scontato, essere, pronto);Dai per scontato che Anna non sia pronta
Я посчитал само собой разумеющимся, что Анна готова (dare per scontato, essere, pronto);Ho dato per scontato che Anna fosse pronta
Не считай само собой разумеющимся, что магазин открыт (dare per scontato, il negozio, essere aperto)!;Non dare per scontato che il negozio sia aperto!
Мы не считаем само собой разумеющимся, что работа лёгкая (dare per scontato, il lavoro, essere facile);Non diamo per scontato che il lavoro sia facile
