G435 - Mettersi d'accordo: договариваться
Мы договариваемся (mettersi d'accordo);Ci mettiamo d'accordo
Я договариваюсь (mettersi d'accordo);Mi metto d'accordo
Ты договариваешься (mettersi d'accordo)?;Ti metti d'accordo?
Анна договаривается (mettersi d'accordo);Anna si mette d'accordo
Вы договариваетесь (mettersi d'accordo)?;Vi mettete d'accordo?
Они договариваются (mettersi d'accordo);Si mettono d'accordo
Мы договорились (mettersi d'accordo);Ci siamo messi d'accordo
Мы договоримся (mettersi d'accordo);Ci metteremo d'accordo
Мы хотели договориться (volere mettersi d'accordo);Volevamo metterci d'accordo
Нам нужно договориться (dovere mettersi d'accordo);Dobbiamo metterci d'accordo
Давайте договоримся (mettersi d'accordo)!;Mettiamoci d'accordo!
Ты не хочешь договориться (volere mettersi d'accordo)?;Non vuoi metterti d'accordo?
