A15 - Condizionale di cortesia e formule morbide
Я (хотеть) кофе;Voglio un caffè
Я (хотеть) кофе — прямая форма (voglio, caffè);Voglio un caffè
Я (хотеть) хотел бы кофе;Vorrei un caffè
Я (хотеть) кофе — вежливая форма (vorrei, caffè);Vorrei un caffè
Я (мочь) могу помочь?;Posso aiutare?
Я (мочь) помочь? — прямая (posso, aiutare);Posso aiutare?
Я (мочь) мог бы помочь?;Potrei aiutare?
Я (мочь) помочь? — вежливая (potrei, aiutare);Potrei aiutare?
Я (хотеть) хочу воду;Voglio dell'acqua
Я (хотеть) воду — прямая (voglio, acqua);Voglio dell'acqua
Я (хотеть) хотел бы воду;Vorrei dell'acqua
Я (хотеть) воду — вежливая (vorrei, dell'acqua);Vorrei dell'acqua
Я (хотеть) хочу пиццу;Voglio una pizza
Я (хотеть) пиццу — прямая (voglio, pizza);Voglio una pizza
Я (хотеть) хотел бы пиццу;Vorrei una pizza
Я (хотеть) пиццу — вежливая (vorrei, pizza);Vorrei una pizza
Я (хотеть) хотел бы меню (vorrei, menù);Vorrei il menù
Я (хотеть) хотел бы заплатить (vorrei, pagare);Vorrei pagare
Я (хотеть) хотел бы стол (vorrei, tavolo);Vorrei un tavolo
Я (мочь) мог бы прийти завтра (potrei, venire);Potrei venire domani
Я (мочь) мог бы сделать это (potrei, fare);Potrei fare questo
Я (мочь) мог бы остаться здесь (potrei, restare);Potrei restare qui
Я (мочь) мог бы работать (potrei, lavorare);Potrei lavorare
Мне (следовать) следует учиться (dovrei, studiare);Dovrei studiare
Мне (следовать) следует работать (dovrei, lavorare);Dovrei lavorare
Мне (следовать) следует пойти домой (dovrei, andare, casa);Dovrei andare a casa
Мне (следовать) следует начать рано (dovrei, iniziare, presto);Dovrei iniziare presto
Мне (следовать) следует сказать правду (dovrei, dire, verità);Dovrei dire la verità
Что бы вы (хотеть) хотели? (vorrebbe);Cosa vorrebbe?
Что бы Вы (хотеть) хотели выпить? (vorrebbe, bere);Che cosa vorrebbe bere?
Вы (хотеть) хотели бы стол на двоих? (vorrebbe, tavolo, due);Vorrebbe un tavolo per due?
Вы (хотеть) хотели бы вина? (vorrebbe, vino);Vorrebbe del vino?
Вы (мочь) могли бы помочь? (potrebbe, aiutare);Potrebbe aiutare?
Вы (мочь) могли бы сказать это? (potrebbe, dire);Potrebbe dire questo?
Вы (мочь) могли бы подождать? (potrebbe, aspettare);Potrebbe aspettare?
Вы (мочь) могли бы повторить? (potrebbe, ripetere);Potrebbe ripetere?
Вам (следовать) следует учиться больше (dovrebbe, studiare);Dovrebbe studiare di più
Вам (следовать) следует говорить медленнее (dovrebbe, parlare);Dovrebbe parlare più lentamente
Мне бы понравилось (нравиться) это (piacerebbe);Mi piacerebbe
Мне бы (хотеть) хотелось посмотреть это (piacerebbe, vedere);Mi piacerebbe vedere questo
Мне бы (хотеть) хотелось поехать в Италию (piacerebbe, andare, Italia);Mi piacerebbe andare in Italia
Мне бы (хотеть) очень хотелось (piacerebbe, molto);Mi piacerebbe molto
Это было бы хорошо (andrebbe, bene);Andrebbe bene
Это было бы лучше (sarebbe, meglio);Sarebbe meglio
Это было бы прекрасно (sarebbe, bellissimo);Sarebbe bellissimo
Это было бы возможно (sarebbe, possibile);Sarebbe possibile
Это было бы идеально (sarebbe, ideale);Sarebbe ideale
Это было бы удобно (sarebbe, comodo);Sarebbe comodo
