A02 - Singular articles (casa)
Это та дом (casa);È la casa
Это дом (casa);È una casa
Это не та дом (casa);Non è la casa
Это не дом (casa);Non è una casa
Я иду в тот дом (a, casa);Vado alla casa
Я иду в дом (a, casa);Vado a casa
Я возвращаюсь в тот дом (in, casa);Torno nella casa
Я живу в том доме (in, casa);Abito nella casa
Тот дом большой (casa, grande);La casa è grande
Тот дом маленький (casa, piccola);La casa è piccola
Тот дом новый (casa, nuova);La casa è nuova
Тот дом старый (casa, vecchia);La casa è vecchia
Я вижу тот дом (vedo, casa);Vedo la casa
Я вижу дом (vedo, casa);Vedo una casa
Тот дом здесь (casa);La casa è qui
Тот дом там (casa);La casa è là
Это не тот дом (casa);Non è la casa
Я не вижу тот дом (vedo, casa);Non vedo la casa
