A12 - Imperfetto (casa)
Я шёл домой (andavo, a casa);Andavo a casa
Ты шёл домой (andavi, a casa);Andavi a casa
Он шёл домой (andava, a casa);Andava a casa
Мы шли домой (andavamo, a casa);Andavamo a casa
Они шли домой (andavano, a casa);Andavano a casa
Я возвращался домой (tornavo, a casa);Tornavo a casa
Она возвращалась домой (tornava, a casa);Tornava a casa
Мы возвращались домой (tornavamo, a casa);Tornavamo a casa
Я жил в доме (abitavo, in, casa);Abitavo in una casa
Ты жил в доме (abitavi, in, casa);Abitavi in una casa
Он жил в доме (abitava, in, casa);Abitava in una casa
Мы жили в доме (abitavamo, in, casa);Abitavamo in una casa
Тот дом был большой (era, grande);La casa era grande
Тот дом был маленький (era, piccola);La casa era piccola
Тот дом был красивый (era, bella);La casa era bella
Те дома были новые (erano, nuove);Le case erano nuove
Я видел дом (vedevo, casa);Vedevo la casa
Мы видели дом (vedevamo, casa);Vedevamo la casa
Я не шёл домой (andavo, a casa);Non andavo a casa
Мы не жили в том доме (abitavamo, in, casa);Non abitavamo nella casa
Тот дом не был грязный (era, sporca);La casa non era sporca
