A02 - Articoli (det. + indet.)
Это та книга (libro);È il libro
Это книга (libro);È un libro
Это тот ученик (studente);È lo studente
Это ученик (studente);È uno studente
Это та проблема (problema);È il problema
Это проблема (problema);È un problema
Это та учительница (insegnante);È l'insegnante
Это учительница (insegnante);È un'insegnante
Это тот друг (amico);È l'amico
Это друг (amico);È un amico
Это та подруга (amica);È l'amica
Это подруга (amica);È un'amica
Это тот дом (casa);È la casa
Это дом (casa);È una casa
Это тот мальчик (ragazzo);È il ragazzo
Это мальчик (ragazzo);È un ragazzo
Это та девочка (ragazza);È la ragazza
Это девочка (ragazza);È una ragazza
Это тот мужчина (uomo);È l'uomo
Это мужчина (uomo);È un uomo
Это та женщина (donna);È la donna
Это женщина (donna);È una donna
Это та вода (acqua);È l'acqua
Это тот год (anno);È l'anno
Это год (anno);È un anno
Это то зеркало (specchio);È lo specchio
Это зеркало (specchio);È uno specchio
Это тот дядя (zio);È lo zio
Это дядя (zio);È uno zio
Это тот стул (sedia);È la sedia
Это стул (sedia);È una sedia
Это тот стол (tavolo);È il tavolo
Это стол (tavolo);È un tavolo
Это тот поезд (treno);È il treno
Это поезд (treno);È un treno
Это та собака (cane);È il cane
Это собака (cane);È un cane
Это то яблоко (mela);È la mela
Это яблоко (mela);È una mela
Это тот ключ (chiave);È la chiave
Это ключ (chiave);È una chiave
Это тот сад (giardino);È il giardino
Это сад (giardino);È un giardino
Это тот санузел (bagno);È il bagno
Это санузел (bagno);È un bagno
Книга здесь (libro, qui);Il libro è qui
Я читаю одну книгу (leggo, un libro);Leggo un libro
Мальчик дома (ragazzo, a casa);Il ragazzo è a casa
У меня есть ключ (ho, una chiave);Ho una chiave
Это не та книга (libro);Non è il libro
Это не тот дом (casa);Non è la casa
Это не мальчик (ragazzo);Non è un ragazzo
Это не девочка (ragazza);Non è una ragazza
Это не то зеркало (specchio);Non è lo specchio
Это не та вода (acqua);Non è l'acqua
Это не тот друг (amico);Non è l'amico
Это те спагетти (spaghetti);Sono gli spaghetti
Это те очки (occhiali);Sono gli occhiali
Это те ключи (chiavi);Sono le chiavi
Это те родители (genitori);Sono i genitori
Это те туфли (scarpe);Sono le scarpe
Это те брюки (pantaloni);Sono i pantaloni
Это те ножницы (forbici);Sono le forbici
Это не те спагетти (spaghetti);Non sono gli spaghetti
Это не те очки (occhiali);Non sono gli occhiali
Это не те ключи (chiavi);Non sono le chiavi
