A05 - Forma di cortesia (Lei)
Как тебя зовут? (chiami)                       ; Come ti chiami?
Как Вас зовут? (chiama)                        ; Come si chiama?
Ты (говорить) говоришь по-итальянски (italiano)?          ; parli italiano?
Вы (говорить) говорите по-итальянски (вежл., italiano)?        ; Lei parla italiano?
Ты (понимать) понимаешь итальянский (l'italiano)?         ; capisci l'italiano?
Вы (понимать) понимаете итальянский (вежл., l'italiano)?       ; Lei capisce l'italiano?
Ты (жить) живёшь в Риме (Roma)?                       ; abiti a Roma?
Вы (жить) живёте в Риме (вежл., Roma)?                     ; Lei abita a Roma?
Ты (работать) работаешь здесь (qui)?                      ; lavori qui?
Вы (работать) работаете здесь (вежл., qui)?                    ; Lei lavora qui?
Ты (есть) устал (stanco)?                             ; sei stanco?
Вы (есть) устали? (вежл., к мужчине, stanco)               ; Lei è stanco?
Вы (есть) устали? (вежл., к женщине, stanca)               ; Lei è stanca?
Ты (есть) готов? (pronto)                             ; sei pronto?
Вы (есть) готовы? (вежл., к мужчине, pronto)               ; Lei è pronto?
Вы (есть) готовы? (вежл., к женщине, pronta)               ; Lei è pronta?
Ты (иметь) хочешь есть (fame)?                         ; hai fame?
Вы (иметь) хотите есть (вежл., fame)?                       ; Lei ha fame?
Ты (учить) учишь итальянский (italiano)?               ; studi italiano?
Вы (учить) учите итальянский (вежл., italiano)?             ; Lei studia italiano?
Ты (есть) из Милана (Milano)?                         ; sei di Milano?
Вы (есть) из Милана? (вежл., Milano)                       ; Lei è di Milano?
Как Ваши дела? (sta)                           ; Come sta?
Хорошо, спасибо. А у Вас? (bene, grazie, E Lei); Bene, grazie. E Lei?
Вы (есть) из Рима (вежл., Roma)?                      ; Lei è di Roma?
Вам (иметь) нужна помощь (aiuto)?                      ; Ha bisogno di aiuto?
Желаете (желать) кофе (caffè)?                          ; Desidera un caffè?
Пожалуйста, как Вас зовут? (favore, chiama)    ; Per favore, come si chiama?
Спасибо, Вы (есть) очень любезны (molto gentile).     ; Grazie, è molto gentile.
До свидания, до скорой. (arrivederci, presto)  ; Arrivederci, a presto
Хорошего дня (giornata).                       ; Buona giornata
Очень приятно. (piacere)                       ; Piacere
Как Ваша фамилия (cognome)?                    ; Qual è il Suo cognome?
Вы (говорить) говорите по-английски (вежл., inglese)?     ; Lei parla inglese?
Как Вы? (вежл., sta)                           ; Come sta Lei?
У Вас (иметь) есть время (вежл., tempo)?               ; Lei ha tempo?
Вы откуда? (di dov'è)                          ; Di dov'è?
Пожалуйста / будьте добры. (per favore)        ; Per favore.
Спасибо. (grazie)                              ; Grazie
Пожалуйста. (prego)                            ; Prego
