A06 - Preposizioni articolate
Я иду в ту школу (a, scuola);Vado alla scuola
Я иду в школу (a, scuola);Vado a scuola
Я иду в тот театр (a, teatro);Vado al teatro
Я иду домой (a, casa);Vado a casa
Книга того мальчика (di, ragazzo);Il libro del ragazzo
Книга мальчика (di, ragazzo);Un libro del ragazzo
Книга той девочки (di, ragazza);Il libro della ragazza
Книга тех мальчиков (di, ragazzi);Il libro dei ragazzi
Книга тех подруг (di, amiche);Il libro delle amiche
Я живу в том городе (in, città);Vivo nella città
Я живу в городе (in, città);Vivo in città
Книга на том столе (su, tavolo);Il libro è sul tavolo
Книга на столе (su, tavolo);Il libro è su un tavolo
Ключи на том стуле (su, sedia);Le chiavi sono sulla sedia
Я иду от того друга (da, amico);Vado dall'amico
Я иду от того мальчика (da, ragazzo);Vado dal ragazzo
Я иду от той подруги (da, amica);Vado dall'amica
Я из того города (di, città);Sono della città
Я из Рима (di, Roma);Sono di Roma
Я из Милана (di, Milano);Sono di Milano
Я учусь в той школе (in, scuola);Studio nella scuola
Я учусь в школе (in, scuola);Studio a scuola
Тот новый друг из Рима (di, nuovo, amico);Il nuovo amico è di Roma
Та книга на том столе (su, libro);Il libro è sul tavolo
Те книги на тех полках (su, libri);I libri sono sugli scaffali
Я не иду в ту школу (a, scuola);Non vado alla scuola
Книга не того мальчика (di, ragazzo);Non è il libro del ragazzo
Я не из того города (di, città);Non sono della città
Книга не на том столе (su, tavolo);Il libro non è sul tavolo
o);Sono contento.
Я (иметь) прав. (ragione);Ho ragione.
