A07 - Domande (W-questions: chi/che/cosa/a-chi/di-chi/con-chi/dove/quando/come/perché/quanto/quale)
Кто ты (есть)? (chi);Chi sei?
Кто это (есть)? (chi);Chi è questo?
Что ты (делать) делаешь? (fai);Cosa fai?
Что это (есть)? (cos'è);Cos'è questo?
Кому ты (говорить) говоришь? (a chi, parli);A chi parli?
Кому ты (говорить) говоришь по-итальянски? (a chi, parli italiano);A chi parli italiano?
Чья это (есть) книга? (libro);Di chi è questo libro?
О ком ты (говорить) говоришь? (parli);Di chi parli?
С кем ты (идти) идешь? (vai);Con chi vai?
С кем ты (работать) работаешь? (lavori);Con chi lavori?
Где ты (жить) живешь? (dove-где, vivi);Dove vivi?
Где ты (работать) работаешь? (dove-где, lavori);Dove lavori?
Куда ты (идти) идешь? (dove-куда, vai);Dove vai?
Откуда ты (есть)? (di dove);Di dove sei?
Откуда вы (есть)? (di dove, siete);Di dove siete?
Когда ты (работать) работаешь? (quando, lavori);Quando lavori?
Когда ты (учить) учишься? (quando, studi);Quando studi?
Как тебя (звать) зовут? (chiami);Come ti chiami?
Как ты (находиться)? (stai);Come stai?
Как ты (учить) учишься? (come, studi);Come studi?
Почему ты (учить) учишься? (perché, studi);Perché studi?
Почему ты (есть) здесь? (perché, qui);Perché sei qui?
Сколько тебе (иметь) лет? (quanti, anni);Quanti anni hai?
Сколько у тебя (иметь) времени? (quanto, tempo);Quanto tempo hai?
Сколько (есть) времени? (che ore);Che ore sono?
Где (есть) ресторан? (dove, ristorante);Dov'è il ristorante?
Какой (есть) номер? (qual, numero);Qual è il numero?
Кто (есть) учитель? (insegnante);Chi è l'insegnante?
Что вы (учить) изучаете? (studiate);Cosa studiate?
Кому вы (говорить) говорите? (a chi, parlate);A chi parlate?
Чья это (есть) машина? (macchina);Di chi è questa macchina?
С кем вы (говорить) разговариваете? (parlate);Con chi parlate?
Где вы (жить) живете? (dove-где, abitate);Dove abitate?
Когда вы (работать) работаете? (quando, lavorate);Quando lavorate?
Как вы (учить) учитесь? (come, studiate);Come studiate?
Почему вы (работать) работаете? (perché, lavorate);Perché lavorate?
Сколько у вас (иметь) времени? (quanto, tempo);Quanto tempo avete?
Какой это (есть) цвет? (colore);Che colore è?
Кто эта (есть) девушка? (ragazza);Chi è questa ragazza?
Что ты (делать) делаешь вечером? (fai, stasera);Cosa fai stasera?
Где (есть) станция? (stazione);Dov'è la stazione?
Кто этот (есть) парень? (ragazzo);Chi è questo ragazzo?
Что ты (читать) читаешь? (leggi);Cosa leggi?
Где (есть) девушка? (ragazza);Dov'è la ragazza?
Когда ты (читать) читаешь? (quando, leggi);Quando leggi?
Как ты (говорить) говоришь? (come, parli);Come parli?
Почему ты (работать) работаешь? (perché, lavori);Perché lavori?
Сколько языков ты (учить) изучаешь? (quante, lingue, studi);Quante lingue studi?
Какой (есть) сегодня день? (giorno);Che giorno è oggi?
Кто этот (есть) человек? (persona);Chi è questa persona?
Что вы (делать) делаете? (cosa, fate);Cosa fate?
Где (есть) телефон? (telefono);Dov'è il telefono?
Когда у тебя (иметь) выходной? (giorno, libero);Quando hai il giorno libero?
