A12 - Imperfetto
Я говорил по-итальянски (parlavo);Parlavo italiano
Ты говорил по-итальянски (parlavi);Parlavi italiano
Он говорил по-итальянски (parlava);Parlava italiano
Мы говорили по-итальянски (parlavamo);Parlavamo italiano
Вы говорили по-итальянски (parlavate);Parlavate italiano
Они говорили по-итальянски (parlavano);Parlavano italiano
Я читал книгу (leggevo);Leggevo il libro
Ты читал книгу (leggevi);Leggevi il libro
Он читал книгу (leggeva);Leggeva il libro
Мы читали книгу (leggevamo);Leggevamo il libro
Они читали книгу (leggevano);Leggevano il libro
Я спал дома (dormivo);Dormivo a casa
Ты спал дома (dormivi);Dormivi a casa
Мы спали дома (dormivamo);Dormivamo a casa
Они спали дома (dormivano);Dormivano a casa
Я учил итальянский (studiavo);Studiavo italiano
Она учила итальянский (studiava);Studiava italiano
Мы учили итальянский (studiavamo);Studiavamo italiano
Я работал здесь (lavoravo);Lavoravo qui
Он работал здесь (lavorava);Lavorava qui
Я был студентом (ero, studente);Ero studente
Ты был студентом (eri, studente);Eri studente
Он был студентом (era, studente);Era studente
Мы были студентами (eravamo, studenti);Eravamo studenti
Они были студентами (erano, studenti);Erano studenti
У меня было время (avevo, tempo);Avevo tempo
У тебя было время (avevi, tempo);Avevi tempo
У него было время (aveva, tempo);Aveva tempo
У нас было время (avevamo, tempo);Avevamo tempo
Я делал зарядку (facevo, ginnastica);Facevo ginnastica
Мы делали зарядку (facevamo, ginnastica);Facevamo ginnastica
Я не говорил по-итальянски (parlavo);Non parlavo italiano
Он не читал книгу (leggeva);Non leggeva il libro
Мы не спали дома (dormivamo);Non dormivamo a casa
