B06 - Trapassato Prossimo
Когда я пришёл, он уже ушёл. (arrivato, uscito);Quando sono arrivato, lui era già uscito.
Когда она позвонила, я уже закончил работу. (chiamato, finito, lavoro);Quando ha chiamato, avevo già finito il lavoro.
Мы уже поужинали, когда они пришли. (cenato, arrivati);Avevamo già cenato quando sono arrivati.
Она уже заснула, когда я вернулся. (tornato, addormentata);Quando sono tornato, lei si era già addormentata.
Он уже не жил там, когда я переехал. (trasferito, abitava);Quando mi sono trasferito, lui non abitava più lì.
Она уже видела этот фильм раньше. (visto, film);Lei aveva già visto questo film prima.
Мы уже слышали эту новость. (sentito, notizia);Avevamo già sentito questa notizia.
Он уже знал правду, когда я ему сказал. (sapeva, verità, gliel'ho, detto);Lui sapeva già la verità quando gliel'ho detto.
Она уже прочитала книгу до разговора. (letto, libro, conversazione);Aveva già letto il libro prima della conversazione.
Когда я встал, мама уже приготовила завтрак. (alzato, madre, preparato, colazione);Quando mi sono alzato, mia madre aveva già preparato la colazione.
Они уже уехали, когда мы приехали на станцию. (arrivati, stazione, partiti);Quando siamo arrivati alla stazione, loro erano già partiti.
Я уже сделал домашнее задание до вечера. (fatto, compiti, sera);Avevo già fatto i compiti prima di sera.
Она уже купила билеты, когда я спросил. (chiesto, comprato, biglietti);Quando ho chiesto, lei aveva già comprato i biglietti.
Мы уже решили проблему до встречи. (risolto, problema, dell'incontro);Avevamo già risolto il problema prima dell'incontro.
Когда я открыл дверь, кот уже убежал. (aperto, porta, gatto, scappato);Quando ho aperto la porta, il gatto era già scappato.
Она уже написала письмо до обеда. (scritto, lettera, pranzo);Aveva già scritto la lettera prima di pranzo.
Они уже продали машину, когда я узнал. (saputo, venduto, macchina);Quando ho saputo, avevano già venduto la macchina.
Она уже закрыла магазин, когда мы пришли. (arrivati, chiuso, negozio);Quando siamo arrivati, lei aveva già chiuso il negozio.
Мы уже начали работать, когда ты позвонил. (chiamato, iniziato, lavorare);Quando hai chiamato, avevamo già iniziato a lavorare.
Он уже вернулся из Италии. (tornato, dall'italia);Lui era già tornato dall'Italia.
Она уже встала, когда прозвенел будильник. (suonata, sveglia, alzata);Quando è suonata la sveglia, lei si era già alzata.
Мы уже выучили эти слова до урока. (imparato, parole, lezione);Avevamo già imparato queste parole prima della lezione.
Когда я пришёл, они уже не говорили. (arrivato, parlavano);Quando sono arrivato, non parlavano più.
Она уже не ждала меня, когда я пришёл. (arrivato, aspettava);Quando sono arrivato, lei non mi aspettava più.
Мы уже поели, когда он пригласил нас. (invitati, mangiato);Quando ci ha invitati, avevamo già mangiato.
Он уже потратил все деньги до конца недели. (speso, soldi, fine, settimana);Aveva già speso tutti i soldi prima della fine della settimana.
Она уже принесла документы, когда я попросил. (chiesto, portato, documenti);Quando ho chiesto, lei aveva già portato i documenti.
Мы уже нашли дорогу до карты. (trovato, strada, mappa);Avevamo già trovato la strada prima della mappa.
Когда я вошёл, он уже сидел там. (entrato, seduto);Quando sono entrato, lui era già seduto lì.
Она уже изменила планы до встречи. (cambiato, piani, dell'incontro);Aveva già cambiato i piani prima dell'incontro.
Мы уже выбрали этот ресторан раньше. (scelto, ristorante);Avevamo già scelto questo ristorante prima.
Он уже закончил университет, когда мы познакомились. (conosciuti, finito, l'università);Quando ci siamo conosciuti, lui aveva già finito l'università.
Она уже ждала тебя час, когда ты пришёл. (arrivato, aspettava, un'ora);Quando sei arrivato, lei ti aspettava già da un'ora.
Мы уже обсуждали это раньше. (discusso);Avevamo già discusso di questo prima.
Когда я проснулся, уже светило солнце. (svegliato, sole, splendeva);Quando mi sono svegliato, il sole splendeva già.
Она уже положила ключи на стол, когда я искал. (cercato, messo, chiavi, tavolo);Quando ho cercato, lei aveva già messo le chiavi sul tavolo.
Мы уже знали ответ до экзамена. (sapevamo, risposta, dell'esame);Sapevamo già la risposta prima dell'esame.
Он уже открыл окно, когда стало жарко. (fatto, caldo, aperto, finestra);Quando ha fatto caldo, lui aveva già aperto la finestra.
