C01 - Congiuntivo Trapassato
Если бы я знал, я бы пришел раньше (sapere).;Se avessi saputo, sarei venuto prima.
Если бы ты мне сказал, я бы помог (dire).;Se me lo avessi detto, ti avrei aiutato.
Если бы он закончил работу, он бы вышел (lavoro).;Se avesse finito il lavoro, sarebbe uscito.
Если бы мы купили билеты, мы бы поехали (biglietti).;Se avessimo comprato i biglietti, saremmo partiti.
Если бы вы пришли вовремя, вы бы увидели начало (inizio).;Se foste arrivati in tempo, avreste visto l'inizio.
Если бы они поняли правило, они бы сделали упражнение (regola).;Se avessero capito la regola, avrebbero fatto l'esercizio.
Если бы я не потерял ключи, я бы вошел (chiavi).;Se non avessi perso le chiavi, sarei entrato.
Если бы она получила письмо, она бы ответила (lettera).;Se avesse ricevuto la lettera, avrebbe risposto.
Если бы мы знали адрес, мы бы нашли дом (indirizzo).;Se avessimo saputo l'indirizzo, avremmo trovato la casa.
Если бы ты был внимательнее, ты бы заметил ошибку (errore).;Se fossi stato più attento, avresti notato l'errore.
Если бы я раньше изучал итальянский, я бы сдал экзамен (italiano).;Se avessi studiato italiano prima, avrei superato l'esame.
Если бы он жил в Риме, он бы знал район (Roma).;Se avesse vissuto a Roma, avrebbe conosciuto il quartiere.
Если бы мы не опоздали, мы бы уже были внутри (ritardo).;Se non fossimo arrivati in ritardo, saremmo già dentro.
Если бы она мне поверила, проблема была бы решена вчера (problema).;Se mi avesse creduto, il problema sarebbe stato risolto ieri.
Если бы они подготовились, экзамен был бы легче (esame).;Se si fossero preparati, l'esame sarebbe stato più facile.
Если бы я услышал звонок, я бы открыл дверь (campanello).;Se avessi sentito il campanello, avrei aperto la porta.
Если бы ты прочитал текст, ты бы понял вопрос (testo).;Se avessi letto il testo, avresti capito la domanda.
Если бы мы поговорили раньше, мы бы избежали ошибки (errore).;Se avessimo parlato prima, avremmo evitato l'errore.
Если бы он был честным, он бы сказал правду (verità).;Se fosse stato sincero, avrebbe detto la verità.
Если бы они приехали вчера, мы бы ужинали вместе (ieri).;Se fossero arrivati ieri, avremmo cenato insieme.
Я думал, что ты уже закончил (finire).;Pensavo che tu avessi già finito.
Я надеялся, что Марко пришел вовремя (Marco).;Speravo che Marco fosse arrivato in tempo.
Она сомневалась, что мы поняли правило (regola).;Dubitava che avessimo capito la regola.
Мне казалось, что они уже уехали (partire).;Mi sembrava che fossero già partiti.
Мы боялись, что вы потеряли документы (documenti).;Temevamo che aveste perso i documenti.
Он не верил, что она сказала правду (verità).;Non credeva che lei avesse detto la verità.
Я был рад, что ты пришел (venire).;Ero contento che tu fossi venuto.
Она была удивлена, что мы все сделали (tutto).;Era sorpresa che avessimo fatto tutto.
Я хотел, чтобы ты уже прочитал письмо (lettera).;Volevo che tu avessi già letto la lettera.
Мы ожидали, что они ответили раньше (rispondere).;Ci aspettavamo che avessero risposto prima.
Было важно, чтобы вы подготовили отчет (rapporto).;Era importante che aveste preparato il rapporto.
Я не думал, что он был в Италии (Italia).;Non pensavo che fosse stato in Italia.
Она надеялась, что я получил сообщение (messaggio).;Sperava che avessi ricevuto il messaggio.
Мы сомневались, что поезд уже ушел (treno).;Dubitavamo che il treno fosse già partito.
Мне казалось, что ты изменил решение (decisione).;Mi sembrava che tu avessi cambiato decisione.
Он боялся, что мы забыли встречу (appuntamento).;Temeva che avessimo dimenticato l'appuntamento.
Я не был уверен, что они поняли ситуацию (situazione).;Non ero sicuro che avessero capito la situazione.
Она была счастлива, что вы пришли (venire).;Era felice che foste venuti.
Мы жалели, что не сказали этого раньше (prima).;Ci dispiaceva che non lo avessimo detto prima.
Я думал, что дверь уже закрыли (porta).;Pensavo che avessero già chiuso la porta.
