A01 - Presente Indicativo
Я покупаю дом (compro, una casa);Compro una casa
Я иду домой (vado, a casa);Vado a casa
Я делаю подарок (faccio, un regalo);Faccio un regalo
Ты покупаешь дом (compri, una casa);Compri una casa
Ты идёшь домой (vai, a casa);Vai a casa
Ты делаешь подарок (fai, un regalo);Fai un regalo
Он покупает дом (compra, una casa);Compra una casa
Он идёт домой (va, a casa);Va a casa
Он делает подарок (fa, un regalo);Fa un regalo
Мы покупаем дом (compriamo, una casa);Compriamo una casa
Мы идём домой (andiamo, a casa);Andiamo a casa
Мы делаем подарок (facciamo, un regalo);Facciamo un regalo
Они покупают дом (comprano, una casa);Comprano una casa
Они идут домой (vanno, a casa);Vanno a casa
Они делают подарок (fanno, un regalo);Fanno un regalo
