A08 - C'è / Ci sono
Есть дом (casa);C'è una casa
Есть большая машина (macchina, grande);C'è una macchina grande
Есть новый шкаф (armadio, nuovo);C'è un armadio nuovo
Есть книга (libro);C'è un libro
Нет дома (casa);Non c'è una casa
Нет книги (libro);Non c'è un libro
Есть ли дом? (casa);C'è una casa?
Есть ли машина? (macchina);C'è una macchina?
Есть те самые дома (case);Ci sono le case
Есть те самые книги (libri);Ci sono i libri
Есть те самые большие дома (case, grande);Ci sono le case grandi
Нет тех самых маленьких домов (case, piccolo);Non ci sono le case piccole
Есть ли те самые дома? (case);Ci sono le case?
Есть ли те самые книги? (libri);Ci sono i libri?
