A01 - Presente Indicativo
Я покупаю дом (compro, una casa);Compro una casa
Я иду домой (vado, a casa);Vado a casa
Я делаю подарок (faccio, un regalo);Faccio un regalo
Ты покупаешь дом (compri, una casa);Compri una casa
Ты идёшь домой (vai, a casa);Vai a casa
Ты делаешь подарок (fai, un regalo);Fai un regalo
Он покупает дом (compra, una casa);Compra una casa
Он идёт домой (va, a casa);Va a casa
Он делает подарок (fa, un regalo);Fa un regalo
Мы покупаем дом (compriamo, una casa);Compriamo una casa
Мы идём домой (andiamo, a casa);Andiamo a casa
Мы делаем подарок (facciamo, un regalo);Facciamo un regalo
Они покупают дом (comprano, una casa);Comprano una casa
Они идут домой (vanno, a casa);Vanno a casa
Они делают подарок (fanno, un regalo);Fanno un regalo

A02 - Articoli
Я покупаю дом (compro, casa);Compro una casa
Я иду домой (vado, a casa);Vado a casa
Я делаю подарок (faccio, un regalo);Faccio un regalo
Я покупаю тот самый дом (compro, casa);Compro la casa
Они покупают дом (comprano, casa);Comprano una casa
Они покупают тот самый дом (comprano, casa);Comprano la casa
Я покупаю машину (compro, macchina);Compro una macchina
Я покупаю ту самую машину (compro, macchina);Compro la macchina
Я покупаю книгу (compro, libro);Compro un libro
Я покупаю ту самую книгу (compro, libro);Compro il libro
Я покупаю подарок (compro, regalo);Compro un regalo
Я покупаю тот самый подарок (compro, regalo);Compro il regalo
Я покупаю шкаф (compro, armadio);Compro un armadio
Я покупаю тот самый шкаф (compro, armadio);Compro l'armadio

A03 - Sostantivi: genere e numero
Я покупаю дом (compro, casa);Compro una casa
Я иду домой (vado, a casa);Vado a casa
Я делаю подарок (faccio, un regalo);Faccio un regalo
Я покупаю те самые дома (compro, case);Compro le case
Ты покупаешь дом (compri, casa);Compri una casa
Ты покупаешь те самые дома (compri, case);Compri le case
Он покупает дом (compra, casa);Compra una casa
Он покупает те самые дома (compra, case);Compra le case
Мы покупаем дом (compriamo, casa);Compriamo una casa
Мы покупаем те самые дома (compriamo, case);Compriamo le case
Вы покупаете дом (comprate, casa);Comprate una casa
Вы покупаете те самые дома (comprate, case);Comprate le case
Они покупают дом (comprano, casa);Comprano una casa
Они покупают те самые дома (comprano, case);Comprano le case
Вы покупаете книгу (comprate, libro);Comprate un libro
Вы покупаете те самые книги (comprate, libri);Comprate i libri
Я покупаю шкаф (compro, armadio);Compro un armadio
Я покупаю те самые шкафы (compro, armadi);Compro gli armadi

A04 - Aggettivi
Я покупаю большой дом (compro, casa, grande);Compro una casa grande
Я иду в красивый дом (vado, in, casa, bello);Vado in una casa bella
