C07 - Passato Remoto: рецептивно (3 лицо)
Купил дом (comprò, casa);Comprò una casa
Пошёл домой (andò, casa);Andò a casa
Сделал подарок (fece, regalo);Fece un regalo
Был дома (fu, casa);Fu a casa
Был тот самый большой подарок (ebbe, regalo, grande);Ebbe il regalo grande
Пришёл домой (venne, casa);Venne a casa
Увидел ту самую новую машину (vide, macchina, nuovo);Vide la macchina nuova
Написал книгу (scrisse, libro);Scrisse un libro
Сказал, что та самая книга красивая (disse, libro, bello);Disse che il libro era bello
Купил книгу, потом пошёл домой (comprò, libro, poi, andò, casa);Comprò un libro, poi andò a casa
Когда пришёл, увидел подарок (quando, venne, vide, regalo);Quando venne, vide il regalo
Купил подарок, был там (comprò, regalo, fu, lì);Comprò il regalo, fu lì
Когда купил ту самую машину, уехал (quando, comprò, macchina, partì);Quando comprò la macchina, partì
Сделал подарок, потом пришёл домой (fece, regalo, poi, venne, casa);Fece il regalo, poi venne a casa
