C08 - Passato Remoto: продуктивно (полная парадигма)
Купил дом (comprai, casa);Comprai una casa
Пошёл домой (andai, casa);Andai a casa
Сделал подарок (feci, regalo);Feci un regalo
Ты купил ту самую книгу (comprasti, libro);Comprasti il libro
Купил новую машину (comprò, macchina, nuovo);Comprò la macchina nuova
Мы купили те самые большие дома (comprammo, case, grande);Comprammo le case grandi
Вы пришли в тот самый новый дом (veniste, casa, nuovo);Veniste nella casa nuova
Они сделали красивые подарки (fecero, regali, bello);Fecero i regali belli
Я был дома, ты был на работе (fui, casa, fosti, lavoro);Fui a casa, fosti al lavoro
У нас была та самая книга (avemmo, libro);Avemmo il libro
Они были в том самом большом доме (furono, casa, grande);Furono nella casa grande
Ты пошёл домой, мы пришли позже (andasti, casa, venimmo, tardi);Andasti a casa, venimmo tardi
Я написал книгу, они купили тот самый дом (scrissi, libro, comprarono, casa);Scrissi un libro, comprarono la casa
Они купили дом, потом мы пришли (comprarono, casa, poi, venimmo);Comprarono una casa, poi venimmo
