C12 - Stare per + infinito / Stare + gerundio nel passato
Вот-вот куплю дом (stare per, comprare, casa);Sto per comprare una casa
Вот-вот пойду домой (stare per, andare, casa);Sto per andare a casa
Вот-вот сделаю подарок (stare per, fare, regalo);Sto per fare un regalo
Собирался купить дом (stare per/imperfetto, comprare, casa);Stavo per comprare una casa
Собиралась пойти домой (stare per/imperfetto, andare, casa);Stava per andare a casa
Собирались сделать подарок (stare per/imperfetto, fare, regalo);Stavamo per fare un regalo
Вот-вот купят ту самую новую машину (stare per, comprare, macchina, nuovo);Stanno per comprare una macchina nuova
Собиралась читать книгу (stare per/imperfetto, leggere, libro);Stava per leggere un libro
Покупал дом — в тот момент (stare + gerundio/imperfetto, comprare, casa);Stavo comprando una casa
Шли домой — в тот момент (stare + gerundio/imperfetto, andare, casa);Stavamo andando a casa
Делала подарок — в тот момент (stare + gerundio/imperfetto, fare, regalo);Stava facendo un regalo
Убирала кухню, когда пришла семья (stare + gerundio/imperfetto, pulire, cucina, quando, venire, famiglia);Stava pulendo la cucina quando è venuta la famiglia
Читал книгу, когда приготовили ужин (stare + gerundio/imperfetto, leggere, libro, quando, cucinare, cena);Stavo leggendo un libro quando è stata cucinata la cena
Вот-вот уйдём на работу (stare per, partire, lavoro);Stiamo per partire al lavoro
Собирались купить красивый подарок (stare per/imperfetto, comprare, regalo, bello);Stavano per comprare un regalo bello
