rank,adjective,msg,fsg,mpl,fpl,collocations,ru
199,nuovo,nuovo,nuova,nuovi,nuove,,новый
227,grande,grande,grande,grandi,grandi,,большой/великий
301,bello,bello,bella,belli,belle,,красивый/прекрасный
307,buono,buono,buona,buoni,buone,,хороший/добрый
388,felice,felice,felice,felici,felici,,счастливый/радостный
398,migliore,migliore,migliore,migliori,migliori,,лучший
417,importante,importante,importante,importanti,importanti,,важный/значительный
430,ultimo,ultimo,ultima,ultimi,ultime,,последний
431,possibile,possibile,possibile,possibili,possibili,,возможный
446,piccolo,piccolo,piccola,piccoli,piccole,,маленький/небольшой
460,difficile,difficile,difficile,difficili,difficili,,трудный/сложный
474,serio,serio,seria,seri,serie,,серьёзный
486,forte,forte,forte,forti,forti,,сильный/крепкий
637,vivo,vivo,viva,vivi,vive,,живой/яркий
715,stupido,stupido,stupida,stupidi,stupide,,глупый/тупой
772,caro,caro,cara,cari,care,,дорогой/милый
777,bravo,bravo,brava,bravi,brave,,умелый/хороший
783,speciale,speciale,speciale,speciali,speciali,,особенный/специальный
788,semplice,semplice,semplice,semplici,semplici,,простой
864,veloce,veloce,veloce,veloci,veloci,,быстрый
889,brutto,brutto,brutta,brutti,brutte,,некрасивый/плохой
892,incredibile,incredibile,incredibile,incredibili,incredibili,,невероятный
903,gentile,gentile,gentile,gentili,gentili,,любезный/милый
929,personale,personale,personale,personali,personali,,личный
944,normale,normale,normale,normali,normali,,нормальный
996,dolce,dolce,dolce,dolci,dolci,,сладкий/мягкий
1065,tranquillo,tranquillo,tranquilla,tranquilli,tranquille,,спокойный
1071,calmo,calmo,calma,calmi,calme,,спокойный/тихий
1103,duro,duro,dura,duri,dure,,твёрдый/жёсткий
1114,triste,triste,triste,tristi,tristi,,грустный/печальный
1163,necessario,necessario,necessaria,necessari,necessarie,,необходимый
1177,reale,reale,reale,reali,reali,,реальный/действительный
1219,intelligente,intelligente,intelligente,intelligenti,intelligenti,,умный/сообразительный
1236,incinta,incinto,incinta,incinti,incinte,,беременный
1325,comune,comune,comune,comuni,comuni,,общий/обыкновенный
1425,strano,strano,strana,strani,strane,,странный
1426,arrabbiato,arrabbiato,arrabbiata,arrabbiati,arrabbiate,,злой/рассерженный
1630,corto,corto,corta,corti,corte,,короткий/краткий
1789,stanco,stanco,stanca,stanchi,stanche,,усталый
2056,potente,potente,potente,potenti,potenti,,мощный/сильный
2242,profondo,profondo,profonda,profondi,profonde,,глубокий
2263,pulito,pulito,pulita,puliti,pulite,,чистый
2431,famoso,famoso,famosa,famosi,famose,,знаменитый/известный
2514,comodo,comodo,comoda,comodi,comode,,удобный
2649,sporco,sporco,sporca,sporchi,sporche,,грязный
2772,eccellente,eccellente,eccellente,eccellenti,eccellenti,,отличный/превосходный
2980,fiero,fiero,fiera,fierri,fiere,,гордый
3237,brillante,brillante,brillante,brillanti,brillanti,,блестящий/яркий
3330,stupendo,stupendo,stupenda,stupendi,stupende,,великолепный/потрясающий
3412,deluso,deluso,delusa,delusi,deluse,,разочарованный
3522,simpatico,simpatico,simpatica,simpatici,simpatiche,,симпатичный/милый
3526,coraggioso,coraggioso,coraggiosa,coraggiosi,coraggiose,,храбрый/мужественный
3588,furbo,furbo,furba,furbi,furbe,,хитрый/лукавый
3756,curioso,curioso,curiosa,curiosi,curiose,,любопытный/странный
3939,elegante,elegante,elegante,eleganti,eleganti,,элегантный
4126,magico,magico,magica,magici,magiche,,волшебный/магический
4134,fedele,fedele,fedele,fedeli,fedeli,,верный/преданный
4209,violento,violento,violenta,violenti,violente,,насильственный/жестокий
4286,antico,antico,antica,antichi,antiche,,древний/старинный
4617,disperato,disperato,disperata,disperati,disperate,,отчаянный
4622,sereno,sereno,serena,sereni,serene,,безмятежный/ясный
4803,tipico,tipico,tipica,tipici,tipiche,,типичный/характерный
4961,leggero,leggero,leggera,leggeri,leggere,,лёгкий
4970,stufo,stufo,stufa,stufi,stufe,,сытый по горло/уставший
4996,lento,lento,lenta,lenti,lente,,медленный
5008,grato,grato,grata,grati,grate,,благодарный
5058,indipendente,indipendente,indipendente,indipendenti,indipendenti,,независимый
5307,generoso,generoso,generosa,generosi,generose,,щедрый
5316,misterioso,misterioso,misteriosa,misteriosi,misteriose,,таинственный/загадочный
5860,attivo,attivo,attiva,attivi,attive,,активный
6045,insolito,insolito,insolita,insoliti,insolite,,необычный
6176,leale,leale,leale,leali,leali,,лояльный/верный
6210,letale,letale,letale,letali,letali,,смертельный/летальный
6217,arrogante,arrogante,arrogante,arroganti,arroganti,,высокомерный/надменный
6309,valido,valido,valida,validi,valide,,действительный/годный
6314,tremendo,tremendo,tremenda,tremendi,tremende,,ужасный/страшный
6362,bollente,bollente,bollente,bollenti,bollenti,,горячий/кипящий
6378,delicato,delicato,delicata,delicati,delicate,,деликатный/нежный
6610,favoloso,favoloso,favolosa,favolosi,favolose,,сказочный/потрясающий
6617,moderno,moderno,moderna,moderni,moderne,,современный
6659,prudente,prudente,prudente,prudenti,prudenti,,осторожный/благоразумный
6738,decente,decente,decente,decenti,decenti,,приличный/достойный
6749,grigio,grigio,grigia,grigi,grigie,,серый
6888,silenzioso,silenzioso,silenziosa,silenziosi,silenziose,,тихий/молчаливый
6978,marrone,marrone,marrone,marroni,marroni,,коричневый/каштановый
7013,fragile,fragile,fragile,fragili,fragili,,хрупкий/ломкий
7095,rapido,rapido,rapida,rapidi,rapide,,быстрый
7342,timido,timido,timida,timidi,timide,,застенчивый/робкий
7489,umile,umile,umile,umili,umili,,скромный/смиренный
7656,turista,turista,turista,turisti,turiste,,туристический
7821,scuro,scuro,scura,scuri,scure,,тёмный
8268,privo,privo,priva,privi,private,,лишённый
8360,allegro,allegro,allegra,allegri,allegre,,весёлый/радостный
8381,azzurro,azzurro,azzurra,azzurri,azzurre,,голубой/лазурный
8674,arancione,arancione,arancione,arancioni,arancioni,,оранжевый
8805,audace,audace,audace,audaci,audaci,,смелый/дерзкий
9209,abile,abile,abile,abili,abili,,умелый/способный
9314,solido,solido,solida,solidi,solide,,твёрдый/прочный
9695,ignoto,ignoto,ignota,ignoti,ignote,,неизвестный
10420,muto,muto,muta,muti,mute,,немой/молчаливый
10490,promettente,promettente,promettente,promettenti,promettenti,,многообещающий
10496,amatoriale,amatoriale,amatoriale,amatoriali,amatoriali,,любительский
10497,strambo,strambo,stramba,strambi,strambe,,странный/чудной
10498,esecutivo,esecutivo,esecutiva,esecutivi,esecutive,,исполнительный
