rank,adverb,comparative,superlative,ru,collocations
294,sotto,,,под/внизу/снизу,
492,dietro,,,за/позади/сзади,
524,probabilmente,,,вероятно/наверное,
568,sopra,,,над/сверху/на,
602,davanti,,,перед/впереди,
773,finalmente,,,наконец/в конце концов,
803,ovviamente,,,очевидно/разумеется,
880,semplicemente,,,просто/просто-напросто,
932,peggio,,,хуже,
1023,sicuramente,,,наверняка/конечно,
1134,certamente,,,конечно/непременно,
1441,naturalmente,,,естественно/конечно,
1496,immediatamente,,,немедленно/тотчас,
1523,praticamente,,,практически/фактически,
1570,laggiù,,,вон там/там внизу,
1689,ultimamente,,,в последнее время,
1780,chiaramente,,,ясно/чётко,
1810,decisamente,,,решительно/определённо,
1904,purtroppo,,,к сожалению,
1914,direttamente,,,напрямую/непосредственно,
1922,seriamente,,,серьёзно,
1989,perfettamente,,,идеально/превосходно,
2055,velocemente,,,быстро,
2399,facilmente,,,легко,
2449,specialmente,,,особенно,
2621,lentamente,,,медленно,
2725,personalmente,,,лично,
2753,totalmente,,,полностью/целиком,
2876,sinceramente,,,искренне/честно,
2968,sfortunatamente,,,к несчастью,
2973,onestamente,,,честно,
3033,letteralmente,,,буквально,
3099,talmente,,,настолько/до такой степени,
3128,ufficialmente,,,официально,
3211,estremamente,,,крайне/чрезвычайно,
3382,improvvisamente,,,внезапно/неожиданно,
3430,tecnicamente,,,технически,
3510,realmente,,,действительно/по-настоящему,
3781,incredibilmente,,,невероятно,
4089,diversamente,,,иначе/по-другому,
4149,profondamente,,,глубоко,
4245,continuamente,,,непрерывно/постоянно,
4299,attentamente,,,внимательно,
4382,normalmente,,,обычно/как правило,
4621,particolarmente,,,особенно/в особенности,
4794,duramente,,,жёстко/сурово,
4953,dannatamente,,,чёртовски/проклято,
4955,terribilmente,,,ужасно/страшно,
5015,francamente,,,откровенно/честно говоря,
5558,effettivamente,,,фактически/действительно,
5623,recentemente,,,недавно,
5698,fortunatamente,,,к счастью,
5721,rapidamente,,,быстро/стремительно,
5780,evidentemente,,,очевидно/по-видимому,
5915,nuovamente,,,снова/вновь,
5946,leggermente,,,слегка/немного,
5998,fisicamente,,,физически,
6283,gentilmente,,,любезно/мило,
6571,stranamente,,,странно,
6650,quaggiù,,,внизу здесь/вон там внизу,
6741,apparentemente,,,по-видимому/кажется,
6958,legalmente,,,юридически/по закону,
7163,attualmente,,,в настоящее время/ныне,
7371,necessariamente,,,обязательно/неизбежно,
7495,fottutamente,,,чёртов/блядски,
7496,disperatamente,,,отчаянно,
7863,costantemente,,,постоянно/непрестанно,
7903,tranquillamente,,,спокойно,
8066,gravemente,,,серьёзно/тяжело,
8206,contemporaneamente,,,одновременно,
8244,correttamente,,,правильно/корректно,
8286,deprimente,,,удручающе/уныло,
8344,sessualmente,,,сексуально,
8393,liberamente,,,свободно,
8628,solitamente,,,обычно/как правило,
8750,regolarmente,,,регулярно/постоянно,
8764,principalmente,,,главным образом/в основном,
8907,fortemente,,,сильно/крепко,
9021,ugualmente,,,равно/одинаково/всё равно,
9050,emotivamente,,,эмоционально,
9178,definitivamente,,,окончательно/бесспорно,
9268,lontanamente,,,далеко/отдалённо,
9463,pienamente,,,полностью/вполне,
9648,pubblicamente,,,публично/открыто,
9961,maledettamente,,,чёртовски,
10171,accidentalmente,,,случайно/нечаянно,
