rank,noun,collocations,ru
21,cosa,,вещь/дело/что-то
110,vero,,истинный/настоящий
168,via,,улица/дорога/путь
208,giusto,,правильный/справедливый
246,sicuro,,безопасный
290,volte,,разы/раз
318,pronto,,готовый/скорый
323,secondo,,второй
331,fino,,до/вплоть до
368,primo,,первый
395,chiesto,,спрошенный/запрошенный
401,figlia,,дочь
425,stasera,,сегодня вечером
462,auto,,машина/автомобиль
468,fantastico,,фантастический
531,unica,,единственная
534,vecchio,,старый
535,domanda,,вопрос
546,divertente,,забавный/весёлый
557,unico,,единственный/уникальный
560,esatto,,точный/верный
578,perfetto,,идеальный/совершенный
597,spiace,,жаль/сожалею
599,facile,,лёгкий/простой
620,puttana,,шлюха/проститутка
646,smettila,,перестань/хватит
655,ottimo,,отличный/превосходный
663,prossima,,следующая/ближайшая
669,chiunque,,кто угодно/любой
674,tieno,,держат/держи
679,amica,,подруга
701,giornata,,день/сутки
707,lungo,,длинный
710,deciso,,решённый/решительный
727,benissimo,,очень хорошо/отлично
729,verita,,правда/истина
754,bambina,,девочка/ребёнок
764,alto,,высокий
767,futuro,,будущее
769,idiota,,идиот/дурак
774,morto,,мёртвый
794,chiaro,,ясный/понятный
806,natale,,рождество
821,prossimo,,следующий/ближний
830,fermo,,неподвижный/остановленный
834,torno,,поворачиваю/возвращаюсь
850,libero,,свободный
862,lista,,список
865,assassino,,убийца
876,giuro,,клянусь
887,carino,,милый/хорошенький
904,rispetto,,уважение
907,zitto,,тихий/молчаливый
916,sorpresa,,удивление/сюрприз
917,occhiata,,взгляд
934,addosso,,на себе/на спине
937,pieno,,полный
945,fame,,голод
947,nonna,,бабушка
951,notizie,,новости/известия
968,terribile,,ужасный/страшный
970,attento,,внимательный
972,sembro,,кажусь
976,impossibile,,невозможный
987,vattene,,уходи/пошёл вон
1000,interessante,,интересный
1003,adoro,,обожаю
1007,sala,,зал/комната
1017,spalle,,плечи/спина
1018,seconda,,секунда/вторая
1020,vale,,стоит/имеет значение
1030,serata,,вечер/вечеринка
1031,nero,,чёрный
1035,dottoressa,,доктор/врач
1056,riguarda,,касается/относится
1069,simile,,подобный/похожий
1077,esiste,,существует
1087,pubblico,,публичный/зрители
1088,senta,,послушайте
1089,corso,,курс/течение
1097,stamattina,,сегодня утром
1113,freddo,,холодный
1129,caccia,,охота
1142,ovunque,,везде/повсюду
1170,piena,,полная
1173,affatto,,вовсе не/совсем не
1183,carina,,милая/хорошенькая
1207,usa,,США/использует
1211,precedento,,предыдущий
1213,mica,,вовсе не/отнюдь не
1215,percio,,поэтому/следовательно
1217,mare,,море
1226,scorsa,,прошлая/минувшая
1228,bianco,,белый
1241,contento,,довольный/радостный
1253,lato,,сторона/бок
1255,maggiore,,больший/старший
1257,unito,,соединённый/объединённый
1272,caldo,,тёплый/горячий
1274,interno,,внутренний
1275,temo,,боюсь/опасаюсь
1285,destra,,право/правая сторона
1289,pericoloso,,опасный
1295,passa,,проходит/передаёт
1296,presente,,присутствующий/настоящий
1305,intero,,целый/весь
1329,ottima,,отличная
1332,intera,,целая/весь
1333,responsabile,,ответственный
1335,lascio,,оставляю/бросаю
1358,caffe,,кофе
1359,rosso,,красный
1385,scherzo,,шутка/розыгрыш
1390,banca,,банк
1393,stronzate,,чушь/хрень
1406,scorso,,прошлый/минувший
1420,vittime,,жертвы
1422,porca,,свинья/сука
1429,orribile,,ужасный/отвратительный
1433,animale,,животное
1434,enorme,,огромный/громадный
1442,colpevole,,виновный/виноватый
1449,suppongo,,предполагаю
1454,frega,,беспокоит/волнует
1479,perfetta,,идеальная
1495,giustizia,,справедливость
1498,umano,,человеческий/человек
1499,college,,колледж
1501,contrario,,противоположный
1502,terzo,,третий
1504,locale,,местный/заведение
1522,massimo,,максимальный/максимум
1530,accanto,,рядом/близко
1534,entrambe,,обе
1543,ovvio,,очевидный
1548,inizia,,начинает(ся)
1551,grave,,серьёзный/тяжёлый
1569,costa,,побережье
1579,prenda,,возьмите
1595,inutile,,бесполезный
1599,basso,,низкий
1621,andartene,,убирайся/уходи
1622,legale,,юридический/законный
1623,carte,,карты/бумаги
1626,stronza,,сука/стерва
1627,contenta,,довольная/радостная
1640,conta,,считает/важно
1642,breve,,краткий/короткий
1645,povero,,бедный
1646,stavolta,,на этот раз
1663,improvviso,,внезапный/неожиданный
1669,continuo,,непрерывный/постоянный
1676,maria,,Мария
1677,fanculo,,хуй/пошёл на хуй
1678,contratto,,контракт/договор
1682,meraviglioso,,удивительный/чудесный
1693,dipende,,зависит
1694,innocente,,невинный
1703,smesso,,переставший/прекративший
1708,centrale,,центральный
1722,stampa,,печать/пресса
1725,ognuno,,каждый/любой
1727,debole,,слабый
