rank,verb,collocations,ru
61,dire,,говорить/сказать
186,dispiacere,,быть неприятным/огорчать
238,piacere,,нравиться/доставлять удовольствие
349,piare,,пищать/чирикать
450,marire,,выйти замуж/женить
497,telefere,,звонить по телефону
509,strare,,тратить/расточать
514,brare,,бежать/устремляться
518,genere,,производить/порождать
569,motire,,мотивировать/двигать
586,chare,,жаловаться/сетовать
680,diventare,,становиться/стать
703,buere,,пить
709,avvocare,,выступать адвокатом/защищать
742,minere,,угрожать/подрывать
747,arrire,,лаять/гавкать
776,solire,,иметь обыкновение/быть привычным
958,proposire,,предлагать/предложить
975,bisognare,,быть нужным/надобить
1001,peccare,,грешить/ошибаться
1116,esercire,,осуществлять/упражнять
1162,cellulare,,звонить по мобильному
1192,effere,,производить/эффект
1204,mentire,,лгать/врать
1263,umare,,дышать/вздыхать
1379,benvenere,,добро пожаловать
1471,comare,,сравнивать/сопоставлять
1480,fortunare,,везти/удача
1515,spirire,,дышать/вздыхать
1592,soldare,,паять/соединять
1624,compire,,завершать/выполнять
1635,obiettire,,возражать/препятствовать
1736,americare,,американизировать
1774,cerchare,,искать/разыскивать
1818,mercare,,торговать/продавать
1957,suere,,потеть
1991,bicchiere,,стакан/чашка
1999,sabare,,саббот/отдыхать
2040,quartiere,,квартировать/размещать
2064,bigliere,,билетировать
2100,militare,,служить в армии
2315,polvere,,пылить/покрывать пылью
2324,tentatire,,пытаться/пробовать
2364,credire,,верить
2371,telecamere,,снимать камерой
2415,divare,,расходиться/отклоняться
2429,togliere,,убирать/снимать
2439,prestire,,предоставлять/давать
2499,debire,,быть должным
2509,dubire,,сомневаться
2519,seguere,,следовать
2574,smere,,снимать/устранять
2625,inizare,,начинать
2647,tolgo,,убирать/снимать
2684,abire,,иметь/обладать
2699,positire,,утверждать/полагать
2704,invire,,приглашать
2813,carcere,,заточить/посадить в тюрьму
3034,oggere,,предлагать/подвергать
3088,oceare,,занимать/обитать
3092,cioccolare,,шоколад/угощать шоколадом
3121,tornere,,возвращаться
3213,richare,,обогащать
3216,fegare,,портить/раздражать
3247,lascere,,оставлять/покидать
3252,chiacchiere,,болтать/сплетничать
3277,progere,,программировать
3339,negatire,,отрицать
3558,sconosciere,,не знать/быть незнакомым
3607,trovere,,находить
3664,sospere,,подозревать
3721,fiare,,дышать/веять
3796,grare,,радовать/приносить радость
3829,cavaliere,,служить рыцарем
3833,italiare,,итальянизировать
3855,deposire,,откладывать/депонировать
3894,dispositire,,располагать/устраивать
3951,rifiere,,отказывать/отвергать
3952,battire,,бить/побеждать
4050,reare,,создавать/порождать
4062,giochare,,играть
4084,comitare,,комитировать/сопровождать
4101,cameriere,,обслуживать/быть официантом
4111,armare,,вооружать
4124,istitere,,учреждать/основывать
4188,salere,,подниматься/взбираться
4193,portere,,нести/переносить
4210,isolare,,изолировать
4220,popolare,,населять/заселять
4284,nucleare,,сосредоточивать
4393,carattere,,характеризовать
4449,mestiere,,ремесленничать
4499,distintire,,различать/отличать
4531,cuocere,,варить/готовить
4615,infermiere,,ухаживать/быть медбратом
4629,trere,,тянуть/тащить
4657,consigliere,,советовать/консультировать
4669,raccomare,,рекомендовать/советовать
4789,candidare,,выдвигать кандидатуру
4819,solliere,,поднимать/возвышать
4832,impiegare,,использовать/нанимать
4858,parlere,,говорить
4863,appetire,,аппетит/хотеть есть
4890,direre,,направлять/указывать
4927,assolere,,оправдывать/освобождать
5013,tessere,,ткать/плести
5023,sconvolgere,,потрясать/переворачивать
5108,chiamere,,звонить/вызывать
5113,perdare,,терять
5134,solare,,солнце/греть на солнце
5164,indiare,,индийский/индианизировать
5235,insere,,вставлять/помещать
5255,seminterrare,,загонять под землю
5393,microfere,,микрофон/озвучивать
5431,supermercare,,супермаркет/покупать
5529,sfigare,,невезти
5537,ingegnere,,инженерить/конструировать
5644,scienziare,,заниматься наукой
5655,anziare,,спешить/торопиться
5659,opere,,работать/действовать
5702,preghiere,,молиться
5704,elementare,,объяснять основы
5755,vomire,,тошнить/блевать
5774,maniere,,манерничать
5824,disporre,,располагать/размещать
5847,certificare,,сертифицировать/удостоверять
5877,cerchere,,искать
5882,schiare,,прояснять/осветлять
5933,proibire,,запрещать
5978,perfere,,предпочитать
6218,impazzere,,сходить с ума
6254,svenere,,терять сознание/упасть в обморок
6266,sindacare,,контролировать/проверять
6285,successire,,преуспевать/следовать
6323,campionare,,чемпионат/участвовать в чемпионате
6375,assistire,,присутствовать/помогать
6377,restituire,,возвращать/отдавать
6389,affamare,,голодать/морить голодом
6395,infinire,,заканчивать/завершать
6414,provere,,пробовать/испытывать
6468,bagnare,,мочить/смачивать
6480,esplosire,,взрывать/взрываться
6511,circuire,,окружать/обходить
6557,prare,,молиться/просить
6563,guardiare,,охранять/смотреть
6566,stellare,,звёздный/сиять
6579,messicare,,месить/перемешивать
6629,attentare,,покушаться/пытаться
6691,senare,,ужинать
6720,domare,,укрощать/приручать
6753,avvenere,,случаться/происходить
6757,asciugamare,,вытирать/сушить
6761,shakespeare,,шекспир/подражать Шекспиру
6911,avvicinarsi,,приближаться
6914,ricere,,искать/разыскивать
6917,aiutere,,помогать
6982,rendersi,,становиться/превращаться
6996,valgere,,стоить/иметь ценность
7000,portiere,,быть привратником/охранять
7031,volerci,,понадобиться/требоваться
7052,giochere,,играть
7096,dibattire,,обсуждать/дебатировать
7246,cenere,,ужинать
7254,alimentare,,питать/кормить
7327,volgare,,вульгаризировать/опошлять
7454,emotire,,волновать/порождать эмоции
7511,cognare,,приходиться родственником
7541,spettacolare,,демонстрировать/показывать
7550,immediare,,посредничать
7557,altare,,алтарь/жертвовать
7576,occupere,,занимать
7650,procedare,,продолжать/поступать
7694,ricomincare,,начинать заново
7705,piacevare,,нравиться/доставлять удовольствие
7747,arrere,,останавливаться/задерживать
7749,operatire,,оперировать/действовать
7767,cristiare,,крестить/христианизировать
7794,cantiere,,строить/возводить
7831,benessere,,благополучие/процветать
7850,seguare,,следовать
7927,maleducare,,дурно воспитывать
7953,corriere,,быть курьером
8046,sostitere,,замещать/заменять
8047,fumere,,курить/дымить
8088,difere,,отличаться/различаться
8122,aggressire,,нападать/атаковать
8181,ispirare,,вдохновлять
8212,soggere,,подвергать/предлагать
8243,brindare,,тостовать/произносить тост
8250,deputare,,делегировать/направлять
8300,educare,,воспитывать/обучать
8389,neonare,,рожать/быть новорождённым
