rank	original	lemma	POS
1	e	essere	VERB
2	non	non	ADV
15	ho	avere	VERB
21	cosa	cosa	NOUN
29	come	come	ADV
34	bene	bene	ADV
35	qui	qui	ADV
39	solo	solo	ADV
49	fatto	fare	VERB
52	so	sapere	VERB
54	sì	sì	ADV
55	ora	ora	ADV
61	detto	dire	VERB
66	mai	mai	ADV
69	anche	anche	ADV
76	sta	stare	VERB
77	molto	molto	ADV
78	più	più	ADV
79	voglio	volere	VERB
86	allora	allora	ADV
87	posso	potere	VERB
90	prima	prima	ADV
99	davvero	davvero	ADV
100	ancora	ancora	ADV
105	così	così	ADV
106	casa	casa	NOUN
108	dove	dove	ADV
110	vero	vero	ADJ
114	quindi	quindi	ADV
119	sempre	sempre	ADV
122	andare	andare	VERB
126	devo	dovere	VERB
128	forse	forse	ADV
130	proprio	proprio	ADV
131	certo	certo	ADV
132	tempo	tempo	NOUN
134	poi	poi	ADV
136	credo	credere	VERB
137	vita	vita	NOUN
142	fuori	fuori	ADV
143	anni	anno	NOUN
147	parte	parte	NOUN
148	visto	vedere	VERB
151	lavoro	lavoro	NOUN
154	dio	Dio	NOUN
155	volta	volta	NOUN
157	adesso	adesso	ADV
159	uomo	uomo	NOUN
160	padre	padre	NOUN
162	bisogno	bisogno	NOUN
164	amico	amico	NOUN
166	posto	porre	NOUN
168	via	via	ADV
171	signore	signore	NOUN
172	meglio	meglio	ADV
173	cazzo	cazzo	NOUN
177	sembra	sembrare	VERB
178	giorno	giorno	NOUN
180	modo	modo	NOUN
186	dispiace	dispiacere	VERB
187	penso	pensare	VERB
188	ecco	ecco	ADV
189	parlare	parlare	VERB
191	mamma	mamma	NOUN
192	già	già	ADV
195	troppo	troppo	ADV
199	nuovo	nuovo	ADJ
200	male	male	ADV
201	madre	madre	NOUN
203	tanto	tanto	ADV
204	favore	favore	NOUN
205	successo	successo	NOUN
208	giusto	giusto	ADJ
211	aspetta	aspettare	VERB
218	momento	momento	NOUN
221	ragazzi	ragazzo	NOUN
223	persone	persona	NOUN
225	tipo	tipo	NOUN
226	prego	pregare	VERB
227	grande	grande	ADJ
229	senti	sentire	VERB
230	appena	appena	ADV
232	soldi	soldo	NOUN
236	oggi	oggi	ADV
238	piace	piacere	VERB
239	idea	idea	NOUN
243	figlio	figlio	NOUN
244	accordo	accordo	NOUN
245	gente	gente	NOUN
246	sicuro	sicuro	ADJ
247	vieni	venire	VERB
249	guarda	guardare	VERB
250	dentro	dentro	ADV
251	trovato	trovare	VERB
253	caso	caso	NOUN
254	forza	forza	NOUN
260	nome	nome	NOUN
262	problema	problema	NOUN
266	mondo	mondo	NOUN
268	preso	prendere	VERB
271	donna	donna	NOUN
273	basta	bastare	VERB
274	insieme	insieme	ADV
277	subito	subito	ADV
278	famiglia	famiglia	NOUN
284	stesso	stesso	ADJ
285	ragione	ragione	NOUN
288	capito	capire	VERB
289	notte	notte	NOUN
291	testa	testa	NOUN
292	serve	servire	VERB
293	tesoro	tesoro	NOUN
294	sotto	sotto	ADV
299	dato	dare	VERB
301	bella	bello	ADJ
302	scusa	scusare	VERB
307	buona	buono	ADJ
308	porta	portare	VERB
310	moglie	moglie	NOUN
312	storia	storia	NOUN
313	succede	succedere	VERB
314	morto	morire	VERB
315	cercando	cercare	VERB
318	pronto	pronto	ADJ
319	meno	meno	ADV
321	avanti	avanti	ADV
325	polizia	polizia	NOUN
326	lì	lì	ADV
330	letto	leggere	VERB
331	fino	fino	ADV
334	fine	fine	NOUN
335	aiuto	aiuto	NOUN
336	paura	paura	NOUN
337	fratello	fratello	NOUN
341	domani	domani	ADV
343	abbastanza	abbastanza	ADV
344	capo	capo	NOUN
345	amore	amore	NOUN
347	ucciso	uccidere	VERB
349	piano	piano	NOUN
350	macchina	macchina	NOUN
352	comunque	comunque	ADV
355	nemmeno	nemmeno	ADV
356	mano	mano	NOUN
358	presto	presto	ADV
360	merda	merda	NOUN
362	bambino	bambino	NOUN
365	tornare	tornare	VERB
368	primo	primo	ADJ
370	neanche	neanche	ADV
