rank	original	lemma	POS	tag
1	e	e	CCONJ	CC
2	non	non	ADV	BN
3	che	che	SCONJ	CS
4	di	di	ADP	E
5	la	il	DET	RD
6	il	il	DET	RD
7	un	uno	DET	RI
8	a	a	ADP	E
9	per	per	ADP	E
10	è	essere	VERB	V
11	in	in	ADP	E
12	una	uno	DET	RI
13	mi	mi	PRON	PC
14	sono	essere	VERB	V
15	ho	avere	VERB	VA
16	l'	L	DET	RD
17	si	si	PRON	PC
18	ha	avere	VERB	V
19	ma	ma	CCONJ	CC
20	lo	il	DET	RD
21	cosa	cosa	NOUN	PQ
22	con	con	ADP	E
23	no	no	ADV	BN
24	le	il	DET	RD
25	ti	ti	PRON	PC
26	se	se	SCONJ	CS
27	da	da	ADP	E
28	i	il	DET	RD
29	come	come	ADV	B
30	io	io	PRON	PE
31	ci	ci	PRON	PC
32	hai	avere	VERB	VA
33	questo	questo	PRON	PD
34	bene	bene	ADV	B
35	qui	qui	ADV	B
36	sei	essere	NUM	N
37	del	di il	ADP	E_RD
38	tu	tu	PRON	PE
39	solo	solo	ADV	B
40	mio	mio	DET	AP
41	al	a il	ADP	E_RD
42	me	me	PRON	PE
43	tutto	tutto	PRON	PI
44	c'	c	PRON	PC
45	te	te	PRON	PC
46	era	essere	VERB	V
47	della	di il	ADP	E_RD
48	mia	mio	DET	AP
49	fatto	fare	VERB	V
50	fare	fare	VERB	V
51	essere	essere	VERB	V
52	so	sapere	VERB	V
53	quando	quando	SCONJ	CS
54	sì	sì	ADV	B
55	ora	ora	ADV	B
56	lei	lei	PRON	PE
57	gli	il	DET	RD
58	ne	ne	PRON	PC
59	oh	oh	ADV	B
60	questa	questo	DET	DD
61	detto	dire	VERB	V
62	ok	ok	CCONJ	CC
63	va	andare	VERB	V
64	perche	perche	ADV	B
65	quello	quello	PRON	PD
66	mai	mai	ADV	B
67	alla	a il	ADP	E_RD
68	o	o	CCONJ	CC
69	anche	anche	ADV	B
70	stato	essere	VERB	S
71	abbiamo	avere	VERB	V
72	tutti	tutto	PRON	PI
73	dei	di il	ADP	E_RD
74	grazie	grazie	NOUN	S
75	chi	chi	PRON	PR
76	sta	stare	VERB	V
77	molto	molto	ADV	B
78	più	più	ADV	B
79	voglio	volere	VERB	VM
80	perché	perché	SCONJ	CS
81	tuo	tuo	DET	AP
82	beh	beh	ADV	B
83	sia	essere	VERB	VA
84	nel	in il	ADP	E_RD
85	lui	lui	PRON	PE
86	allora	allora	ADV	B
87	posso	potere	VERB	VM
88	piu	piu	ADV	B
89	ehi	ehi	PRON	PE
90	prima	prima	ADV	B
91	tua	tuo	DET	AP
92	suo	suo	DET	AP
93	niente	niente	PRON	PI
94	qualcosa	qualcosa	PRON	PI
95	sai	sai	VERB	V
96	siamo	essere	VERB	V
97	un'	uno	DET	RI
98	cosi	cosi	VERB	V_PC
99	davvero	davvero	ADV	B
100	ancora	ancora	ADV	B
101	hanno	avere	VERB	VA
102	stai	stare	VERB	V
103	fa	fare	VERB	V
104	sua	suo	DET	AP
105	così	così	ADV	B
106	casa	casa	NOUN	S
107	uno	uno	PRON	PI
108	dove	dove	ADV	B
109	su	su	ADP	E
110	vero	vero	ADJ	A
111	vuoi	volere	VERB	VM
112	noi	noi	PRON	PE
113	due	due	NUM	N
114	quindi	quindi	ADV	B
115	dire	dire	VERB	V
116	d'	d	ADP	E
117	delle	di il	ADP	E_RD
118	quella	quello	PRON	PD
119	sempre	sempre	ADV	B
120	altro	altro	PRON	PI
121	sto	stare	VERB	V
122	andare	andare	VERB	V
123	ad	a	ADP	E
124	po	po	CCONJ	CC
125	loro	loro	PRON	PE
126	devo	dovere	VERB	VM
127	quel	quello	PRON	PD
128	forse	forse	ADV	B
129	li	li	PRON	RD
130	proprio	proprio	ADV	B
131	certo	certo	ADV	B
132	tempo	tempo	NOUN	S
133	nella	in il	ADP	E_RD
134	poi	poi	ADV	B
135	vi	vi	PRON	PC
136	credo	credere	VERB	V
137	vita	vita	NOUN	S
138	cose	cosa	NOUN	S
139	sul	su il	ADP	E_RD
140	quanto	quanto	PRON	B
141	puoi	potere	VERB	VM
142	fuori	fuori	ADV	B
143	anni	anno	NOUN	S
144	cui	cui	PRON	PR
145	andiamo	andare	VERB	V
146	dell'	dell	ADP	E_RD
147	parte	parte	NOUN	S
148	visto	vedere	VERB	V
149	qualcuno	qualcuno	PRON	PI
150	all'	all	ADP	E_RD
151	lavoro	lavoro	NOUN	S
152	voi	voi	PRON	PE
153	ciao	ciao	VERB	V
154	dio	Dio	NOUN	SP
155	volta	volta	NOUN	S
156	dopo	dopo	ADP	E
157	adesso	adesso	ADV	B
158	stata	essere	VERB	VA
159	uomo	uomo	NOUN	S
160	padre	padre	NOUN	S
161	devi	dovere	VERB	VM
162	bisogno	bisogno	NOUN	S
163	gia	gia	ADV	B
