rank,adjective,msg,fsg,mpl,fpl,collocations,ru
110,vero,vero,vera,veri,vere,,настоящий/верный
199,nuovo,nuovo,nuova,nuovi,nuove,,новый
208,giusto,giusto,giusta,giusti,giuste,,правильный
227,grande,grande,grande,grandi,grandi,,большой
246,sicuro,sicuro,sicura,sicuri,sicure,,безопасный/уверенный
284,stesso,stesso,stessa,stessi,stesse,,тот же/самый
301,bello,bello,bella,belli,belle,,красивый
307,buono,buono,buona,buoni,buone,,хороший/вкусный
318,pronto,pronto,pronta,pronti,pronte,,готовый
383,belo,belo,bela,beli,bele,,красивый
388,felice,felice,felice,felici,felici,,счастливый
398,migliore,migliore,migliore,migliori,migliori,,лучший
417,importante,importante,importante,importanti,importanti,,важный
419,salvo,salvo,salva,salvi,salve,,целый и невредимый
430,ultimo,ultimo,ultima,ultimi,ultime,,последний
431,possibile,possibile,possibile,possibili,possibili,,возможный
446,piccolo,piccolo,piccola,piccoli,piccole,,маленький
460,difficile,difficile,difficile,difficili,difficili,,трудный
468,fantastico,fantastico,fantastica,fantastici,fantastice,,фантастический
474,serio,serio,seria,serii,serie,,серьёзный
486,forte,forte,forte,forti,forti,,сильный
509,strano,strano,strana,strani,strane,,странный
514,bravo,bravo,brava,bravi,brave,,умелый/хороший
531,unico,unico,unica,unici,unice,,единственный/уникальный
534,vecchio,vecchio,vecchia,vecchii,vecchie,,старый
546,divertente,divertente,divertente,divertenti,divertenti,,забавный/весёлый
560,esatto,esatto,esatta,esatti,esatte,,точный
578,perfetto,perfetto,perfetta,perfetti,perfette,,идеальный/совершенный
599,facile,facile,facile,facili,facili,,лёгкий/простой
620,puttano,puttano,puttana,puttani,puttane,,проститутка
637,vivo,vivo,viva,vivi,vive,,живой
655,ottimo,ottimo,ottima,ottimi,ottime,,отличный/превосходный
663,prossimo,prossimo,prossima,prossimi,prossime,,близкий/следующий
675,oddio,oddio,oddia,oddii,oddie,,боже
707,lungo,lungo,lunga,lungi,lunge,,длинный
715,stupido,stupido,stupida,stupidi,stupide,,глупый
764,alto,alto,alta,alti,alte,,высокий
767,futuro,futuro,futura,futuri,future,,будущий
772,caro,caro,cara,cari,care,,дорогой/милый
