rank,adverb,comparative,superlative,ru,collocations
29,come,,,как,
86,allora,,,тогда/итак,
114,quindi,,,поэтому,
168,via,,,прочь/дорога,
188,ecco,,,вот,
294,sotto,,,под/внизу,
331,fino,,,до/вплоть до,
425,stasera,,,сегодня вечером,
426,scusi,,,извините,
492,dietro,,,позади/сзади,
523,pure,,,также/даже,
524,probabilmente,,,вероятно/наверное,
568,sopra,,,над/сверху,
602,davanti,,,перед/впереди,
632,però,,,но/однако,
702,piuttosto,,,довольно/скорее,
753,insomma,,,в общем,
769,idiota,,,идиот,
773,finalmente,,,наконец,
787,oltre,,,кроме/за пределами,
802,circa,,,около/приблизительно,
803,ovviamente,,,очевидно,
827,soltanto,,,только,
864,veloce,,,быстрый,
880,semplicemente,,,просто,
904,rispetto,,,уважение,
932,peggio,,,хуже,
934,addosso,,,на себе/на ком-то,
977,cioè,,,то есть,
990,intorno,,,вокруг,
1023,sicuramente,,,наверняка,
1079,altrimenti,,,иначе,
1097,stamattina,,,сегодня утром,
1120,dunque,,,итак/значит,
1123,infatti,,,в самом деле,
1134,certamente,,,конечно,
1142,ovunque,,,везде/повсюду,
1173,affatto,,,вовсе не,
1213,mica,,,вовсе не/отнюдь не,
1215,percio,,,поэтому,
1259,eccolo,,,вот он,
1316,perciò,,,поэтому,
1441,naturalmente,,,естественно,
1496,immediatamente,,,немедленно,
1523,praticamente,,,практически,
1530,accanto,,,рядом,
1542,persino,,,даже,
1570,laggiù,,,вон там,
1589,projecte,,,проект,
1646,stavolta,,,на этот раз,
1689,ultimamente,,,в последнее время,
1780,chiaramente,,,ясно,
1810,decisamente,,,решительно,
1880,eccoci,,,вот мы,
1904,purtroppo,,,к сожалению,
1914,direttamente,,,напрямую,
1922,seriamente,,,серьёзно,
1989,perfettamente,,,идеально,
2055,velocemente,,,быстро,
2097,tantissimo,,,очень много,
2111,gratis,,,бесплатно,
2165,domattina,,,завтра утром,
2238,dappertutto,,,везде/повсюду,
2245,finora,,,до сих пор,
2267,assieme,,,вместе,
2399,facilmente,,,легко,
2441,solamente,,,только,
2442,chissà,,,кто знает,
2449,specialmente,,,особенно,
2466,tuttavia,,,однако/тем не менее,
2480,frattempo,,,тем временем,
2621,lentamente,,,медленно,
2725,personalmente,,,лично,
2753,totalmente,,,полностью/целиком,
2829,amen,,,амен,
2857,pò,,,немного,
2876,sinceramente,,,искренне/честно,
2968,sfortunatamente,,,к несчастью,
2973,onestamente,,,честно,
2996,pochare,,,чуть-чуть,
3033,letteralmente,,,буквально,
3099,talmente,,,настолько,
3128,ufficialmente,,,официально,
3211,estremamente,,,крайне,
3228,porno,,,порно,
3270,intanto,,,тем временем,
3288,lassù,,,вон там наверху,
3382,improvviso,,,внезапный,
3430,tecnicamente,,,технически,
3510,realmente,,,реально/действительно,
3620,mmm,,,ммм,
3688,dopotutto,,,в конце концов,
3744,apposta,,,нарочно/специально,
3753,sino,,,до/вплоть до,
3781,incredibilmente,,,невероятно,
3966,sodo,,,твёрдый/крепкий,
4089,diversamente,,,иначе/по-другому,
4149,profondamente,,,глубоко,
4221,Logan,,,Логан,
4245,continuamente,,,непрерывно,
4259,eccome,,,ещё бы/конечно,
4299,attento,,,внимательный,
4382,normalmente,,,обычно/нормально,
4406,altrove,,,в другом месте,
4533,tutt,,,все,
4577,altrettanto,,,столько же/так же,
4621,particolarmente,,,в частности,
4702,fango,,,грязь,
4794,duramente,,,жестко,
4953,dannatamente,,,чёртовски,
4955,terribilmente,,,ужасно,
5015,francamente,,,откровенно,
5020,infine,,,наконец/в конце концов,
5122,shawe,,,шав,
5335,avery,,,Эвери,
5558,effettivamente,,,фактически,
5608,indosso,,,на себе,
5623,recentemente,,,недавно,
5698,fortunatamente,,,к счастью,
5721,rapidamente,,,быстро,
5730,clyde,,,Клайд,
5780,evidentemente,,,очевидно,
5915,nuovamente,,,снова/заново,
5946,leggermente,,,слегка,
5952,quì,,,здесь,
5998,fisicamente,,,физически,
6000,alquanto,,,довольно/весьма,
6283,gentilmento,,,любезно,
6331,innanzitutto,,,прежде всего,
6379,fisso,,,фиксированный,
6571,stranamente,,,странно,
6650,quaggiù,,,вон там внизу,
6741,apparentemente,,,по-видимому,
6747,eccetera,,,и так далее,
6777,etero,,,гетеро,
6958,legalmente,,,законно,
7122,are,,,есть,
7163,attualmente,,,в настоящее время,
7167,calvin,,,Кэлвин,
7178,altamente,,,высоко/весьма,
7371,necessariamente,,,обязательно/непременно,
7399,ammettilare,,,признай,
7423,bè,,,ну/ладно,
7495,fottutamente,,,чёртовски,
7496,disperatamente,,,отчаянно,
7533,orchestra,,,оркестр,
7639,oriente,,,восток,
7863,costantemente,,,постоянно,
7903,tranquillamente,,,спокойно,
8033,delinquente,,,преступник,
8034,divino,,,божественный,
8066,gravemente,,,серьёзно/тяжело,
8206,contemporaneamente,,,одновременно,
8244,correttamente,,,правильно,
8286,deprimente,,,удручающий/депрессивный,
8344,sessualmente,,,сексуально,
8393,libero,,,свободный,
8417,torace,,,грудная клетка,
8421,sennò,,,иначе/а то,
8628,solitamente,,,обычно,
8656,talvolta,,,иногда,
8750,regolarmente,,,регулярно,
8764,principalmente,,,главным образом,
8786,impaziente,,,нетерпеливый,
8804,perlomeno,,,по крайней мере,
8907,fortemente,,,сильно,
