rank	original	lemma	POS
21	cosa	cosa	NOUN
29	come	come	ADV
59	oh	oh	ADV
64	perche	perche	ADV
74	grazie	grazie	NOUN
82	beh	beh	ADV
86	allora	allora	ADV
88	piu	piu	ADV
95	sai	sai	VERB
98	cosi	cosi	VERB
110	vero	vero	ADJ
114	quindi	quindi	ADV
153	ciao	ciao	VERB
154	dio	Dio	NOUN
163	gia	gia	ADV
168	via	via	ADV
186	dispiace	dispiacere	VERB
188	ecco	ecco	ADV
199	nuovo	nuovo	ADJ
206	vai	vai	VERB
208	giusto	giusto	ADJ
214	farlo	fare lo	VERB
227	grande	grande	ADJ
238	piace	piacere	VERB
246	sicuro	sicuro	ADJ
247	vieni	vieni	VERB
255	dov'	dov	VERB
264	puo	puo	VERB
281	okay	okay	NOUN
284	stesso	stesso	ADJ
294	sotto	sotto	ADV
297	vado	vado	VERB
298	sara	sara	VERB
301	bella	bello	ADJ
307	buona	buono	ADJ
316	dici	dici	VERB
318	pronto	pronto	ADJ
331	fino	fino	ADV
373	morte	morto	NOUN
382	piacere	piacere	NOUN
383	bel	belo	ADJ
384	dovrei	dovrei	VERB
388	felice	felice	ADJ
398	migliore	migliore	ADJ
402	dovresti	dovresti	VERB
417	importante	importante	ADJ
419	salve	salvo	ADJ
425	stasera	stasera	ADV
426	scusi	scusi	ADV
430	ultima	ultimo	ADJ
431	possibile	possibile	ADJ
439	eri	erio	VERB
442	riesco	riesco	VERB
446	piccolo	piccolo	ADJ
450	marito	marito	NOUN
460	difficile	difficile	ADJ
462	auto	auto	NOUN
468	fantastico	fantastico	ADJ
473	com'	com	NOUN
474	serio	serio	ADJ
476	fossi	fosso	NOUN
486	forte	forte	ADJ
492	dietro	dietro	ADV
509	strano	strano	ADJ
514	bravo	bravo	ADJ
518	genere	genere	NOUN
523	pure	pure	ADV
524	probabilmente	probabilmente	ADV
530	farti	fare ti	VERB
531	unica	unico	ADJ
533	signorina	signorino	NOUN
534	vecchio	vecchio	ADJ
546	divertente	divertente	ADJ
552	dimmi	dimmi	VERB
553	farmi	fare mi	VERB
560	esatto	esatto	ADJ
568	sopra	sopra	ADV
570	avevi	avevi	VERB
576	potresti	potresti	VERB
578	perfetto	perfetto	ADJ
579	be	be	NOUN
580	mente	menta	NOUN
586	chiamo	chare	VERB
590	avresti	avresti	VERB
594	sarei	sarei	VERB
597	spiace	spiacere	VERB
599	facile	facile	ADJ
601	buongiorno	Buongiorno	VERB
602	davanti	davanti	ADV
604	dammi	dammi	VERB
608	dica	dica	VERB
620	puttana	puttano	ADJ
622	cioe	cioe	NOUN
628	fammi	fammi	NOUN
632	però	però	ADV
637	vivo	vivo	ADJ
646	smettila	smettila	NOUN
655	ottimo	ottimo	ADJ
663	prossima	prossimo	ADJ
670	capisci	capiscre	VERB
672	immagino	immagino	VERB
674	tieni	tienere	VERB
675	oddio	oddio	ADJ
676	jack	Jack	NOUN
683	dirmi	dire mi	VERB
684	wow	wow	NOUN
685	farai	farare	VERB
698	dirlo	dire lo	VERB
701	giornata	giornata	NOUN
702	piuttosto	piuttosto	ADV
707	lungo	lungo	ADJ
711	sarai	sarai	VERB
715	stupido	stupido	ADJ
729	verita	verita	NOUN
743	saperlo	sapere lo	VERB
753	insomma	insomma	ADV
764	alto	alto	ADJ
765	giu	giue	NOUN
767	futuro	futuro	ADJ
768	preoccuparti	preoccuparre ti	VERB
769	idiota	idiota	ADV
772	cara	caro	ADJ
773	finalmente	finalmente	ADV
778	é	é	VERB
781	dev'	dev	NOUN
783	speciale	speciale	ADJ
787	oltre	oltre	ADV
788	semplice	semplice	ADJ
789	dirti	dire ti	VERB
794	chiaro	chiaro	ADJ
802	circa	circa	ADV
803	ovviamente	ovviamente	ADV
806	natale	Natale	ADJ
812	scusami	scusami	NOUN
827	soltanto	soltanto	ADV
830	fermo	fermo	ADJ
833	cristo	cristo	NOUN
842	pero	pero	NOUN
848	perche'	perche	NOUN
850	libero	libero	ADJ
861	vederti	vedere ti	VERB
862	lista	listare	NOUN
864	veloce	veloce	ADV
865	assassino	assassino	ADJ
880	semplicemente	semplicemente	ADV
886	lasci	lascare	VERB
887	carino	carino	ADJ
889	brutto	brutto	ADJ
892	incredibile	incredibile	ADJ
900	volevi	volevi	VERB
902	lasciami	lasciare mi	NOUN
903	gentile	gentile	ADJ
904	rispetto	rispetto	ADV
907	zitto	ziggere	NOUN
917	occhiata	occhiare	NOUN
923	hey	hey	NOUN
928	saresti	saresto	NOUN
929	personale	personale	ADJ
931	saro	saro	VERB
932	peggio	peggio	ADV
934	addosso	addosso	ADV
937	pieno	pieno	ADJ
938	diverso	diverso	ADJ
942	do	do	ADV
944	normale	normale	ADJ
945	fame	fama	NOUN
948	sappia	sappia	VERB
953	riesci	riesci	VERB
958	proposito	proposito	NOUN
959	farci	fare ci	VERB
962	frank	frank	NOUN
968	terribile	terribile	ADJ
970	attento	attento	ADJ
975	bisogna	bisognare	VERB
976	impossibile	impossibile	ADJ
977	cioè	cioè	ADV
982	uscita	uscita	NOUN
983	ii	ii	ADJ
987	vattene	vattene	VERB
990	intorno	intorno	ADV
993	esserci	essere ci	VERB
996	dolce	dolce	ADJ
1000	interessante	interessante	ADJ
1017	spalle	spalla	NOUN
1023	sicuramente	sicuramente	ADV
1026	saremo	saremo	VERB
1030	serata	serata	NOUN
1031	nero	nero	ADJ
1034	ex	ex	ADJ
1043	stavi	stavi	VERB
1051	andra	andra	VERB
1059	uh	uhre	VERB
1064	averlo	avere lo	VERB
1065	tranquillo	tranquillo	ADJ
1069	simile	simile	ADJ
1079	altrimenti	altrimenti	ADV
1087	pubblico	pubblico	ADJ
1097	stamattina	stamattina	ADV
1107	aiutarti	aiutare ti	VERB
1113	freddo	freddo	ADJ
1114	triste	triste	ADJ
1116	esercito	esercito	NOUN
1120	dunque	dunque	ADV
1123	infatti	infatti	ADV
1125	intendi	intendi	VERB
1126	fbi	fbi	NOUN
1130	gay	gay	ADJ
1134	certamente	certamente	ADV
1137	dovrai	dovrai	VERB
1140	ascoltami	ascoltami	VERB
1142	ovunque	ovunque	ADV
1149	duro	duro	ADJ
1162	cellulare	cellulare	ADJ
1163	necessario	necessario	ADJ
1167	prometto	promettare	VERB
1173	affatto	affatto	ADV
1176	siediti	siedire	VERB
1177	reale	reale	ADJ
1180	parlarne	parlare ne	VERB
1194	sapevi	sapevere	VERB
1196	scommetto	scommettare	VERB
1199	danny	danny	NOUN
1202	ia	ia	VERB
1211	precedenti	precedente	ADJ
1213	mica	mica	ADV
1215	percio	percio	ADV
1217	mare	mare	NOUN
1219	intelligente	intelligente	ADJ
1224	ehm	ehm	VERB
1226	scorsa	scorso	ADJ
1228	bianco	Bianco	ADJ
1232	nick	nick	NOUN
1236	incinta	incinto	ADJ
1241	contento	contento	ADJ
1253	lato	lato	NOUN
1255	maggiore	maggiore	ADJ
1256	farsi	fare si	VERB
1259	eccolo	eccolo	ADV
1263	umano	umano	ADJ
1266	averti	avere ti	VERB
1272	caldo	caldo	ADJ
1274	interno	interno	ADJ
1285	destra	destro	ADJ
1289	pericoloso	pericoloso	ADJ
1296	presente	presente	ADJ
1298	arrivederci	arrivedere ci	VERB
1303	vederlo	vedere lo	VERB
1305	intero	intero	ADJ
1308	venuti	venere	VERB
1315	parlarti	parlare ti	VERB
1316	perciò	perciò	ADV
1320	gliel'	gliel	NOUN
1325	comune	comune	ADJ
1330	aiutarmi	aiutare mi	VERB
1331	ama	amira	VERB
1333	responsabile	responsabile	ADJ
1340	m'	m	NOUN
1350	posti	posto	NOUN
1351	accidenti	accidento	NOUN
1358	caffe	Caffe	NOUN
1359	rosso	rosso	ADJ
1365	sexy	sexy	ADJ
1370	vorresti	vorresti	VERB
1374	farle	fare le	VERB
1379	benvenuto	benvenuto	NOUN
1390	banca	bancare	NOUN
1393	stronzate	stronzata	NOUN
1397	potessi	potessi	VERB
1404	bill	bill	NOUN
1407	tony	tony	NOUN
1409	andremo	andremo	VERB
1412	darmi	dare mi	VERB
1415	darti	dare ti	VERB
1418	esci	esci	VERB
1419	ray	ray	NOUN
1422	porca	porco	ADJ
1426	arrabbiato	arrabbiato	ADJ
1429	orribile	orribile	ADJ
1433	animali	animale	NOUN
1434	enorme	enorme	ADJ
1441	naturalmente	naturalmente	ADV
1442	colpevole	colpevole	ADJ
1449	suppongo	suppongo	VERB
1459	diro	diro	VERB
1464	avermi	avere mi	VERB
1465	saprei	sapre	VERB
1477	avra	avra	VERB
1480	fortunato	fortunato	ADJ
1483	blu	blu	ADJ
1486	will	will	NOUN
1488	bob	bob	NOUN
1492	dati	dato	NOUN
1496	immediatamente	immediatamente	ADV
1499	college	college	NOUN
1501	contrario	contrario	ADJ
1504	locale	locale	ADJ
1508	aiutarla	aiutare la	VERB
1511	chiamate	chiamata	NOUN
1522	massimo	massimo	ADJ
1523	praticamente	praticamente	ADV
1528	guardami	guardamo	NOUN
1529	dirò	diere	VERB
1530	accanto	accanto	ADV
1536	potrai	potrai	VERB
1541	vederla	vedere la	VERB
1542	persino	persino	ADV
1543	ovvio	ovvio	ADJ
1545	amy	amy	NOUN
1550	billy	Billy	NOUN
1551	grave	grave	ADJ
1554	dovevi	dovevi	VERB
1555	aiutami	aiutami	VERB
1567	richard	richard	NOUN
1570	laggiù	laggiù	ADV
1582	ferita	ferito	ADJ
1585	preoccupato	preoccupato	ADJ
1586	verra	verrae	NOUN
1589	project	projecte	ADV
1590	averla	avere la	VERB
1595	inutile	inutile	ADJ
1599	basso	basso	ADJ
1604	digli	diglio	NOUN
1607	dirle	dire le	VERB
1621	andartene	andare te ne	VERB
1622	legale	legale	ADJ
1625	srt	srt	ADJ
1630	corte	corto	ADJ
1639	show	show	NOUN
1642	breve	breve	ADJ
1645	povero	povero	ADJ
1646	stavolta	stavolta	ADV
1661	saremmo	saremmo	VERB
1662	aperta	aperto	ADJ
1663	improvviso	improvviso	ADJ
1669	continuo	continuo	ADJ
1682	meraviglioso	meraviglioso	ADJ
1689	ultimamente	ultimamente	ADV
1691	prendermi	prendere mi	VERB
1694	innocente	innocente	ADJ
1708	centrale	centrale	ADJ
1715	andro	andro	NOUN
1727	debole	debole	ADJ
1730	sii	sii	VERB
1731	vaffanculo	vaffanculo	NOUN
1732	andarci	andare ci	VERB
1734	dirtelo	dirtelo	VERB
1735	grandioso	grandioso	ADJ
1736	americano	americano	ADJ
1738	francese	francese	ADJ
1739	chiederti	chiedere ti	VERB
1740	faresti	farestare	NOUN
1742	sottotitoli	sottotitole	NOUN
1744	peggiore	peggiore	ADJ
1748	latte	latta	NOUN
1749	buio	buio	ADJ
1750	siate	siate	VERB
1758	fargli	farge li	VERB
1761	muoviti	muovire	VERB
1763	angeles	angeles	VERB
1770	andrai	andrai	VERB
1774	cerchiamo	cerchere	VERB
1775	scott	scott	VERB
1778	bobby	bobby	NOUN
1780	chiaramente	chiaramente	ADV
1782	capace	capace	ADJ
1789	stanco	stanco	ADJ
1796	principale	principale	ADJ
1804	convinto	convinto	ADJ
1810	decisamente	decisamente	ADV
1816	andrò	andere	VERB
1817	pensarci	pensare ci	VERB
1818	mercato	mercato	NOUN
1822	drink	drink	NOUN
1827	avro	avro	VERB
1831	andy	Andy	NOUN
1844	benvenuti	benvenuto	ADJ
1846	ponte	Ponte	NOUN
1853	finale	finale	ADJ
1868	super	super	ADJ
1877	perdita	perdita	NOUN
1880	eccoci	eccoci	ADV
1886	scuse	scusa	NOUN
1888	trovarlo	trovare lo	VERB
1889	potevi	potevi	VERB
1891	scusatemi	scusatema	NOUN
1894	chiamami	chiamami	VERB
1900	dovreste	dovreste	VERB
1903	volessi	volessi	VERB
1904	purtroppo	purtroppo	ADV
1905	eccola	eccolare	VERB
1909	prenderti	prendere ti	VERB
1911	crederci	credere ci	VERB
1914	direttamente	direttamente	ADV
1915	ie	ie	NOUN
1920	fidanzata	fidanzato	NOUN
1921	andarmene	andare me ne	VERB
1922	seriamente	seriamente	ADV
1926	preoccupi	preoccupire	VERB
1934	grace	grace	NOUN
1935	dita	dito	NOUN
1943	nazionale	nazionale	ADJ
1946	corri	corro	VERB
1949	passati	passato	ADJ
1953	josh	Josh	NOUN
1954	media	media	ADJ
1959	copertura	coperturare	NOUN
1962	piaci	piae ci	VERB
