rank,noun,collocations,ru
21,cosa,,вещь/дело
154,Dio,,Бог
373,morto,,мёртвый
382,piacere,,нравиться
450,marito,,муж
462,auto,,автомобиль
473,com,,с
518,genere,,род/жанр/вид
533,signorino,,господин/молодой человек
580,menta,,мята
676,Jack,,Джек
701,giornata,,день
729,verita,,истина/правда
765,giue,,вниз
781,dev,,должен
833,cristo,,Христос
842,pero,,но/однако
862,listare,,перечислять
902,lasciare mi,,оставь меня
907,ziggere,,цедить
917,occhiare,,смотреть/глазеть
923,hey,,эй
945,fama,,слава/молва
958,proposito,,намерение/цель
962,frank,,Фрэнк
982,uscita,,выход
1017,spalla,,плечо
1030,serata,,вечер
1116,esercito,,армия
1126,fbi,,ФБР
1199,danny,,Дэнни
1217,mare,,море
1232,nick,,Ник
1253,lato,,сторона
1320,gliel,,ему это/ей это
1340,m,,м
1350,posto,,место
1351,accidento,,чёрт/блин
1358,Caffe,,кафе/кофе
1379,benvenuto,,добро пожаловать
1390,bancare,,банк
1393,stronzata,,чушь/херня
1404,bill,,Билл
1407,tony,,Тони
1419,ray,,Рэй
1433,animale,,животное
1486,will,,Уилл
1488,bob,,Боб
1511,chiamata,,звонок/вызов
1528,guardamo,,смотрим
1545,amy,,Эми
1550,Billy,,Билли
1567,richard,,Ричард
1604,diglio,,скажи ему
1639,show,,шоу/показ
1715,andro,,пойду
1731,vaffanculo,,отвали/иди к чёрту
1742,sottotitole,,субтитры
1748,latta,,молоко
1778,bobby,,Бобби
1818,mercato,,рынок
1822,drink,,напиток/выпивка
1831,Andy,,Энди
1846,Ponte,,мост
1877,perdita,,потеря
1886,scusa,,извини/извинение
1891,scusatema,,извините меня
1915,ie,,то есть
1920,fidanzato,,жених/парень
1934,grace,,Грейс
1935,dito,,палец
1953,Josh,,Джош
1959,coperturare,,покрывать
1976,nient,,ничто
1995,porta,,дверь
2016,matt,,Мэтт
2026,fan,,фанат/вентилятор
2040,quartiere,,квартал/район
2071,mr,,господин/мистер
2075,annia,,Анна
2126,c,,с/ч
2139,tetta,,грудь/соска
2172,sale,,соль
2180,Est,,восток
2187,caduta,,падение
2207,Lady,,леди
2214,entrata,,вход
2257,Jeff,,Джефф
2273,park,,парк
2315,polvere,,пыль
2333,scherzo,,шутка
2335,Lord,,лорд
2364,credito,,кредит
2368,fatemi,,дайте мне/позвольте мне
2370,kyle,,Кайл
2392,sissignore,,"да, сэр"
2418,accusa,,обвинение
2425,scrivaniare,,писать/сочинять
2432,desidero,,желаю
2433,lily,,Лили
2439,prestito,,заём/ссуда
2460,roger,,Роджер
2472,Jenny,,Дженни
2487,Lago,,озеро
2488,barry,,Барри
2500,occhialo,,очки
2504,resynch,,ресинхронизация
2507,sito,,сайт/место
2534,maggia,,майя
2539,volgere,,поворачивать/обращать
2564,mezz,,половина
2580,elizabeth,,Элизабет
2615,molly,,Молли
2626,Chloe,,Хлоя
2633,collega,,коллега
2671,band,,группа/бандана
2701,andiamocena,,пойдём отсюда
2702,diamine,,чёрт возьми
2715,patrick,,Патрик
2727,b,,б
2755,babboo,,папочка
2775,stamma,,оставайся
2781,Jones,,Джонс
2793,yo,,йо/эй
2796,champagna,,шампанское
2805,oliver,,Оливер
2809,venditare,,продавать
2813,carcere,,тюрьма
2817,arthuro,,Артур
2827,passeggiata,,прогулка
2841,football,,футбол
2853,opportunita,,возможность
2859,episode,,эпизод
2860,sembro,,кажусь
2870,terry,,Терри
2885,attivita,,деятельность/активность
2925,oscar,,Оскар
2927,calca,,толпа/давка
2941,penny,,Пенни
2944,rebecca,,Ребекка
2961,jay,,Джей
2979,casey,,Кейси
2995,spario,,исчезаю
3007,Corda,,верёвка/шнур
3008,benzinare,,заправлять
3010,ricko,,Рико
3035,ione,,ион
3046,venerdo,,пятница
3070,nascita,,рождение
3078,universito,,университет
3081,man,,мужчина/человек
3082,on,,на
3083,big,,большой
3092,cioccolare,,шоколад
3100,ricky,,Рики
3118,ethan,,Итан
3119,Jackie,,Джеки
3125,cooper,,Купер
3143,fred,,Фред
3162,Betty,,Бетти
3192,doc,,док/доктор
3200,mac,,Мак
3216,fegato,,печень
3218,torrere,,башня
3226,cola,,Кола
3245,vegas,,Вегас
3248,Harvey,,Харви
3251,tornerare,,вернусь
3252,chiacchiera,,болтовня/сплетня
3299,catherina,,Катерина
3302,owen,,Оуэн
3313,sally,,Салли
3327,Miller,,Миллер
3329,racconto,,рассказ
3345,jess,,Джесс
3355,assassino,,убийца
3360,shawn,,Шон
3401,synch,,синхронизация
3405,giovanurre,,молодёжь
3409,steven,,Стивен
3435,Justin,,Джастин
3458,gang,,банда/группа
