rank,verb,collocations,ru
186,dispiacere,,сожаление
238,piacere,,нравиться
586,chare,,делать/жечь (ошибка: ciare/fare)
597,spiacere,,сожалеть/быть неприятным
601,Buongiorno,,доброе утро/здравствуйте
670,capiscre,,понимать (ошибка: capire)
674,tienere,,держать (ошибка: tenere)
743,sapere lo,,знать это
768,preoccuparre ti,,беспокоить тебя
861,vedere ti,,видеть тебя
886,lascare,,оставлять/позволять (ошибка: lasciare)
959,fare ci,,делать это/делать нам
975,bisognare,,нужно/необходимо
993,essere ci,,быть здесь/быть нами
999,coraggere,,ободрять (ошибка: coraggere=incoraggiare)
1064,avere lo,,иметь его
1107,aiutare ti,,помогать тебе
1167,promettare,,обещать (ошибка: promettere)
1176,siedire,,сидеть (ошибка: sedere)
1180,parlare ne,,говорить о том
1194,sapevere,,знать (ошибка: sapere)
1196,scommettare,,держать пари/спорить
1256,fare si,,делать так/устроить
1266,avere ti,,иметь тебя
1298,arrivedere ci,,прощаться (arrivederci)
1308,venere,,приходить (ошибка: venire)
1315,parlare ti,,говорить тебе
1330,aiutare mi,,помогать мне
1331,amira,,цели/достоинство (amira=amare? mira)
1464,avere mi,,иметь меня
1508,aiutare la,,помогать ей
1590,avere la,,иметь её
1607,dire le,,сказать ей/им
1621,andare te ne,,уходить/уезжать (andartene)
1691,prendere mi,,взять меня
1732,andare ci,,идти нам/туда
1739,chiedere ti,,спрашивать тебя
1761,muovire,,двигать (ошибка: muovere)
1763,angeles,,ангелы (имя собственное)
1774,cerchere,,искать (ошибка: cercare)
1775,scott,,Скотт (имя собственное)
1816,andere,,идти/ехать (ошибка: andare)
1817,pensare ci,,думать об этом
1905,eccolare,,вот он/она (ecco + lo)
1909,prendere ti,,взять тебя
1911,credere ci,,верить в это
1921,andare me ne,,уходить/уезжать мне (andarmene)
1926,preoccupire,,беспокоить (ошибка: preoccupare)
1946,corro,,я бегу
1962,piae ci,,"нравиться нам (piacerci, ошибка)"
1978,vedere mi,,видеть меня
1985,facere,,делать (ошибка: fare)
1991,bicchiere,,стакан
2029,bevere,,пить (ошибка: bere)
2036,chiamare mi,,звать меня/называться
2041,uccidere mi,,убить меня/убиться
2045,lasciae lo,,оставить его (ошибка: lasciarlo)
2096,conoscere ti,,знать тебя/познакомиться с тобой
2140,vorere,,хотеть (ошибка: volere)
2146,drittare,,прямой
2150,succedee ro,,"случаться/происходить (succedergli, ошибка)"
2151,son,,я есть (sono)
2161,lasciare mi,,оставить меня/отпустить меня
2166,Lasciatemi,,оставьте меня/отпустите меня
2179,andare ce ne,,уходить/уезжать нам (andarcene)
2190,parlare le,,говорить ей
2276,scusare mi,,извинять меня (scusami)
2281,dire ci,,сказать нам
2314,uccidere lo,,убить его
2329,sentire mi,,слышать меня/чувствовать меня
2340,aiutare ci,,помогать нам
2357,piacciere,,нравиться (ошибка: piacere)
2361,dovrò,,я должен буду
2385,muovere si,,двигаться
2390,fare vi,,делать вам
2402,daere,,давать (ошибка: dare)
2403,smettere la,,перестать/бросить это
2436,eccoe ti,,вот ты (ecco + ti)
2451,dare le,,дать ей/им
2457,mettire,,класть/ставить (ошибка: mettere)
2479,trovare mi,,найти меня
2509,dubire,,сомневаться (ошибка: dubitare)
2529,avere ne,,иметь из этого
2556,dare ci,,дать нам
2574,smettare,,перестать/прекратить
2577,portare lo,,нести его/приносить его
2579,mettere mi,,ставить меня/класть мне
2593,amandare,,посылать (ошибка: mandare/ammirare)
2598,fare ne,,делать из этого
2616,portare ti,,нести тебя
2622,mettere ti,,ставить тебя/класть тебе
2625,inizere,,начинать (ошибка: iniziare)
2648,risogliere,,выбирать снова (ошибка: riscegliere)
2652,sentire ti,,слышать тебя/чувствовать тебя
2656,nae th an,,"имя собственное (Nathan, ошибка)"
2710,tenere lo,,держать его
2716,provare ci,,попробовать это
2739,caspitare,,случаться/оказаться
2766,parlare mi,,говорить мне
2774,muovere ti,,двигать тебя
2779,Lasciala,,оставь её/отпусти её
2789,stan,,они стоят (stanno)
2800,trovere ai,,найти вам (ошибка: trovarvi)
2810,toglire,,снимать/убирать (ошибка: togliere)
2833,lasciare ti,,оставлять тебя/отпускать тебя
2836,dire vi,,сказать вам
2838,trovare ti,,найти тебя
2852,aiutare vi,,помогать вам
2869,essere mi,,быть мне
2881,ross,,Росс (имя собственное)
2883,ere,,быть (ошибка: essere)
2891,uccidere ti,,убить тебя
2900,portare la,,нести её
2939,uscere,,выходить (ошибка: uscire)
2951,comincere,,начинать (ошибка: cominciare)
2956,dormere,,спать (ошибка: dormire)
2963,escare,,выходить (ошибка: uscire/esci)
2967,vedere ci,,видеть нас
2986,portare mi,,нести меня
2993,chiedere mi,,спрашивать меня
3027,Andrew,,Эндрю (имя собственное)
3029,Sara,,Сара (имя собственное)
3043,prenderare,,брать (ошибка: prendere)
3058,convenere,,соглашаться/подходить
3091,chiedere le,,спрашивать её
3104,essere ne,,быть из этого
3114,mangare,,есть/кушать (ошибка: mangiare)
3116,potrò,,я смогу
3121,tornerò,,я вернусь
3144,mettere ci,,класть нам/ставить нам
3180,parlarge li,,говорить им (ошибка: parlargli)
3201,aiutare lo,,помогать ему
3203,divertere,,развлекать (ошибка: divertire)
3221,todd,,Тодд (имя собственное)
3243,dare si,,давать себе/уступать
3247,Lascerò,,я оставлю/я отпущу
3254,scoprire lo,,открыть его/узнать его
3258,mandere,,посылать (ошибка: mandare)
3260,ricordare ti,,напоминать тебе/вспоминать тебя
3269,glieno,,им/им об этом (gli + ne)
3275,prendeere,,брать (ошибка: prendere)
3284,prendie lo,,взять его (ошибка: prenderlo)
3305,avere ci,,иметь нас
3347,prendire,,брать (ошибка: prendere)
3351,vivare,,жить (ошибка: vivere)
3357,potere lo,,мочь его
3362,prendere si,,браться за (ошибка: prendersi)
3363,offrore,,предлагать (ошибка: offrire)
3368,smettetele,,перестаньте это (smettete + le)
3371,fidare ti,,доверять тебе
3380,rivedere ti,,увидеть тебя снова
3402,connor,,Коннор (имя собственное)
3421,sposare mi,,жениться на мне/выходить за меня
3439,piantae la,,посадить её/бросить её (ошибка: piantarla)
3466,chiamare ti,,звать тебя
3482,fermare lo,,остановить его
3489,preoccupare si,,беспокоиться
3519,entrere,,входить (ошибка: entrare)
3529,assicurare mi,,уверять меня/убеждать меня
3540,Gibbs,,Гиббс (имя собственное)
3548,dylan,,Дилан (имя собственное)
3579,han,,Хэн (имя собственное)
3607,troverò,,я найду
3613,passere,,проходить (ошибка: passare)
3617,uccidare,,убивать (ошибка: uccidere)
3621,servirare,,служить (ошибка: servire)
3626,essere si,,быть собой
3629,mettere lo,,класть его/ставить его
3648,guardare mi,,смотреть на меня
3667,accriro,,я приобрету (ошибка: acquisterò)
3710,fidare mi,,доверять мне
3739,evan,,Эван (имя собственное)
3804,riley,,Райли (имя собственное)
3817,spettare,,ждать/ожидать (ошибка: aspettare)
3827,piacciare,,нравиться (ошибка: piacere)
3834,mettere si,,надевать/ставить себе
3870,travis,,Трэвис (имя собственное)
3873,reverere,,видеть снова/восхищать (ошибка: rivedere/reverire)
3887,scrivare,,писать (ошибка: scrivere)
3893,verrò,,я приду
3903,starò,,я буду/я останусь
3909,conore,,знать/узнавать (ошибка: conoscere)
3917,tenere la,,держать её
3945,fermare mi,,остановить меня
3984,fermare ti,,остановить тебя
4002,uccidere la,,убить её
4010,sentire si,,слышать себя/чувствовать себя
4024,vedere vi,,видеть вас
4045,muoviamore ci,,"давайте двинемся (muoviamoci, ошибка)"
4060,riuscire ai,,удаваться вам (ошибка: riuscirvi)
4062,giochare,,играть (ошибка: giocare)
4064,finise ci,,заканчивать нам (ошибка: finirci)
4092,april,,Эйприл (имя собственное)
4139,spiegire,,объяснять (ошибка: spiegare)
4140,trovare ci,,найти нас
4157,evvivare,,да здравствовать (ошибка: evviva)
4181,spariscre,,исчезать (ошибка: sparire/sparisce)
4192,piaciutare,,помочь (ошибка: piacere + aiutare?)
4193,porterò,,я принесу/я повезу
4197,ringraziare ti,,благодарить тебя
4204,ammettere lo,,признать это
4217,chiedere lo,,спрашивать его
4222,dispiaciere,,сожалеть (ошибка: dispiacere)
4242,resistare,,сопротивляться
4244,occupare mi,,занимать меня/обнимать меня
4272,essere ti,,быть тебе
4310,proteggere ti,,защищать тебя
4331,tenere ti,,держать тебя
4346,sedere ti,,сажать тебя
4355,mettere la,,класть её/ставить её
4433,seguare,,следовать (ошибка: seguire)
4448,mettilare,,класть (ошибка: mettere)
4477,piacare,,нравиться (ошибка: piacere)
4532,volere lo,,хотеть его
4541,toccare mi,,трогать меня/касаться меня
4554,piacerare,,нравиться (ошибка: piacere)
4579,tenere mi,,держать меня
4585,usare lo,,использовать его
4592,neal,,Нил (имя собственное)
4600,Harold,,Гарольд (имя собственное)
4603,pensassare,,думать (ошибка: pensare)
4605,aprere,,открывать (ошибка: aprire)
4625,riconoscare,,узнавать (ошибка: riconoscere)
4655,potere ti,,мочь тебе
4665,prendere ci,,брать нас/взять нас
4669,raccomandere,,рекомендовать (ошибка: raccomandare)
4715,parlerare,,говорить (ошибка: parlare)
4723,prendie la,,взять её (ошибка: prenderla)
4740,is,,есть (английское is)
4774,volontare,,хотеть/желать (ошибка: volere)
4777,aiuterare,,помогать (ошибка: aiutare)
4787,abilire,,учреждать/создавать (ошибка: istituire/abilitare)
4811,chiendere,,спрашивать/просить (ошибка: chiedere)
4826,vidre,,видеть (ошибка: vedere)
4846,cercare lo,,искать его
4858,parleere,,говорить (ошибка: parlare)
4862,aiutere,,помогать (ошибка: aiutare)
4870,sembreere,,казаться (ошибка: sembrare)
4876,dare vi,,дать вам
4888,guardae lo,,смотреть на него (ошибка: guardarlo)
4889,rere,,делать/быть (ошибка:残留)
4894,porterare,,нести (ошибка: portare)
