Номер;Код;Тема;Анализ
1;A01;Presente Indicativo;Фундаментальный глагольный автоматизм: все три спряжений (-are/-ere/-ire) и ключевые неправильные essere/avere/andare/fare. Студент усваивает, что личное окончание несёт лицо, а подлежащее опускается — это база итальянской синтаксической структуры.
2;A02;Articoli (det. + indet.);Артикли как указатели статуса существительного: знакомое/новое, конкретное/любое. Студент учится видеть артикль как интегральную часть существительного — это фундамент для будущих слияний с предлогами и падежной системы.
3;A03;Sostantivi: genere e numero;Род и число существительных через внутреннюю логику окончаний -o/-a/-e → -i/-e. Ключевой момент: автоматизм рода/числа — база для всех будущих согласований (прилагательные, participio, possessivi).
4;A04;Aggettivi;Согласование прилагательных как эхо рода и числа существительного. Студент осознанно строит цепочку артикль+сущ+прилаг и понимает, как позиция меняет смысл (un povero uomo vs un uomo povero).
5;A05;Forma di cortesia (Lei): solo Indicativo;Вежливый регистр как использование 3-го лица единственного числа вместо 2-го. Жёсткое методологическое ограничение: только Indicativo формы — императив Lei откладывается, чтобы не смешивать системы.
6;A06;Essere vs Avere (состояния);Две разные упаковки состояния: essere для свойств (Им.п.) vs avere для ощущений (Вин.п.). Студент принимает падежной сдвиг «мне холодно → ho freddo» через осознание механизма, а не через перевод.
7;A07;Domande (W-questions);Вопросительные слова как ярлыки падежных отношений: chi/che cosa/a chi/di chi/con chi/dove. Студент учится строить вопрос без do-support, понимая инверсию как структурный выбор, а не как обязательное правило.
8;A08;C'è / Ci sono;Конструкция существования для русского студента — это ключевой выбор между «есть ли» (новое) и «находится» (известное). Студент должен усвоить что c'è/ci sono всегда вводят новую информацию с неопределённым артиклем в отличие от essere с определённым.
9;A09;Preposizioni semplici e articolate;Это системный урок падежной карты italiano для русскоязычного — перевод preposizioni в русские падежные смыслы (di=Родительный a=Дательный da=откуда/от кого in/su=Предложный). Студент должен осознать что предлоги не зубрятся а распознаются как знакомые падежные отношения в новой форме.
10;A10;Possessivi;Притяжательные прилагательные как свёрнутый genitiv с di (il libro di Marco → il suo libro). Студент должен увидеть что possessivo — это альтернативная упаковка уже известного смысла принадлежности а не новая грамматическая категория.
