A05 - Forma di cortesia (Lei)
Как тебя зовут? (chiami);Come ti chiami?
Как Вас зовут? (chiama);Come si chiama?
Ты говоришь по-итальянски (italiano)?;Tu parli italiano?
А Вы говорите по-итальянски (italiano)?;Lei parla italiano?
Ты понимаешь итальянский (italiano)?;Tu capisci l'italiano?
А Вы понимаете итальянский (italiano)?;Lei capisce l'italiano?
Ты живёшь в Риме (Roma)?;Tu abiti a Roma?
А Вы живёте в Риме (Roma)?;Lei abita a Roma?
Ты работаешь здесь (qui)?;Tu lavori qui?
А Вы работаете здесь (qui)?;Lei lavora qui?
Ты устал (stanco)?;Tu sei stanco?
А Вы устали (stanco)?;Lei è stanco?
Ты хочешь есть (fame)?;Tu hai fame?
А Вы хотите есть (fame)?;Lei ha fame?
Ты учишь итальянский (italiano)?;Tu studi italiano?
А Вы учите итальянский (italiano)?;Lei studia italiano?
Ты из Милана (Milano)?;Tu vieni da Milano?
А Вы откуда? (viene);Lei da dove viene?
Как Ваши дела? (sta);Come sta?
Хорошо, спасибо. А у Вас? (bene, grazie);Bene, grazie. E Lei?
Вы из Рима (Roma)?;Lei è di Roma?
Вам нужна помощь (aiuto)?;Ha bisogno di aiuto?
Вы хотите кофе (caffè)?;Desidera un caffè?
Пожалуйста, как Вас зовут? (favore, chiama);Per favore, come si chiama?
Спасибо, Вы очень любезны (gentile).;Grazie, Lei è gentile
До свидания, до скорой. (arrivederci, presto);Arrivederci, a presto
Хорошего дня (giornata).;Buona giornata
Очень приятно. (piacere);Piacere
Как Ваша фамилия (cognome)?;Qual è il Suo cognome?
Вы живёте в Италии (Italia)?;Lei abita in Italia?
Вы работаете здесь (qui)?;Lei lavora qui?
Вы говорите по-английски (inglese)?;Lei parla inglese?
Вы понимаете по-итальянски (italiano)?;Lei capisce l'italiano?
Вы живёте в Риме (Roma)?;Lei vive a Roma?
Как Вы? (sta);Come sta Lei?
У Вас есть время (tempo)?;Ha tempo Lei?
Вы из какого города (città)?;Di quale città è?
Откуда Вы? (viene);Da dove viene?
Пожалуйста. (favore);Per favore
Спасибо. (grazie);Grazie
Пожалуйста. (prego);Prego
Вы учите итальянский (italiano)?;Lei studia italiano?
Вы живёте в Италии (Italia)?;Lei vive in Italia?
