A08 - C'è e Ci sono (existence)
Есть ли здесь школа?;C'è una scuola qui?
Есть ли там банк?;C'è una banca lì?
Есть ли в твоем городе театр?;C'è un teatro nella tua città?
Есть ли в этом ресторане вегетарианские блюда?;Ci sono piatti vegetariani in questo ristorante?
Есть ли в твоей семье дети?;Ci sono bambini nella tua famiglia?
Есть ли на столе книги?;Ci sono dei libri sul tavolo?
Есть ли в твоей комнате окна?;Ci sono finestre nella tua stanza?
Есть ли в этом городе музеи?;Ci sono musei in questa città?
Есть ли в твоей сумке ключи?;Ci sono chiavi nella tua borsa?
Есть ли в этом парке деревья?;Ci sono alberi in questo parco?
На улице есть люди.;Ci sono persone per strada.
В доме есть проблемы.;Ci sono problemi in casa.
В мире есть надежда.;C'è speranza nel mondo.
В жизни есть трудности.;Ci sono difficoltà nella vita.
В этом фильме есть смысл.;C'è senso in questo film.
В твоих словах есть правда.;C'è verità nelle tue parole.
В этом вопросе есть ответ.;C'è una risposta a questa domanda.
В классе есть студенты.;Ci sono studenti in classe.
В офисе есть компьютеры.;Ci sono computer in ufficio.
В библиотеке есть книги.;Ci sono libri in biblioteca.
В кафе есть столики.;Ci sono tavoli al caffè.
В магазине есть клиенты.;Ci sono clienti nel negozio.
В гостиной есть диван.;C'è un divano in soggiorno.
На кухне есть холодильник.;C'è un frigorifero in cucina.
В ванной есть душ.;C'è una doccia nel bagno.
В спальне есть кровать.;C'è un letto nella camera da letto.
В гараже есть машина.;C'è una macchina in garage.
В саду есть цветы.;Ci sono fiori nel giardino.
В огороде есть овощи.;Ci sono verdure nell'orto.
На небе есть облака.;Ci sono nuvole nel cielo.
В море есть рыбы.;Ci sono pesci nel mare.
В лесу есть животные.;Ci sono animali nel bosco.
В горах есть снега.;Ci sono nevi sulle montagne.
В реке есть вода.;C'è acqua nel fiume.
В озере есть рыбы.;Ci sono pesci nel lago.
В пустыне есть песок.;C'è sabbia nel deserto.
В стране есть города.;Ci sono città nel paese.
В мире есть страны.;Ci sono paesi nel mondo.
В университете есть факультеты.;Ci sono facoltà nell'università.
В школе есть классы.;Ci sono classi a scuola.
В книге есть главы.;Ci sono capitoli nel libro.
В истории есть уроки.;Ci sono lezioni nella storia.
