A14 - Verbi Modali
Я должен работать (devo, lavorare);Devo lavorare
Я должен начать рано (devo, iniziare, presto);Devo iniziare presto
Я должен учиться (devo, studiare);Devo studiare
Я должен пойти домой (devo, andare, casa);Devo andare a casa
Я должен купить хлеб (devo, comprare, pane);Devo comprare il pane
Я могу говорить по-итальянски (posso, parlare, italiano);Posso parlare italiano
Я могу прийти завтра (posso, venire);Posso venire domani
Я могу помочь (posso, aiutare);Posso aiutare
Я могу приготовить ужин (posso, preparare, cena);Posso preparare la cena
Я могу прочитать эту книгу (posso, leggere, libro);Posso leggere questo libro
Я хочу есть (voglio, mangiare);Voglio mangiare
Я хочу пить (voglio, bere);Voglio bere
Я хочу поехать в Италию (voglio, andare, italia);Voglio andare in Italia
Я хочу выучить итальянский (voglio, imparare, l'italiano);Voglio imparare l'italiano
Я хочу встретить Марко (voglio, incontrare, marco);Voglio incontrare Marco
Я умею говорить по-итальянски (parlare, italiano);So parlare italiano
Я умею готовить (cucinare);So cucinare
Я умею писать (scrivere);So scrivere
Я умею водить машину (guidare);So guidare
Я умею читать (leggere);So leggere
Ты не должен работать (devi, lavorare);Non devi lavorare
Ты не должен бояться (devi, aver, paura);Non devi aver paura
Ты не должен опаздывать (devi, arrivare, ritardo);Non devi arrivare in ritardo
Ты не можешь прийти (puoi, venire);Non puoi venire
Ты не можешь сказать это (puoi, dire);Non puoi dire questo
Ты не хочешь есть (vuoi, mangiare);Non vuoi mangiare
Ты не хочешь пить (vuoi, bere);Non vuoi bere
Я не умею делать это (fare);Non so fare questo
Я не умею плавать (nuotare);Non so nuotare
Мы должны учиться (dobbiamo, studiare);Dobbiamo studiare
Мы можем встретить Марко (possiamo, incontrare, marco);Possiamo incontrare Marco
Мы хотим путешествовать (vogliamo, viaggiare);Vogliamo viaggiare
Мы умеем говорить правду (sappiamo, dire, verità);Sappiamo dire la verità
Вы должны быть здесь (dovete);Dovete essere qui
Вы можете помочь (potete, aiutare);Potete aiutare
Вы хотите кофе? (volete, caffè);Volete un caffè?
Вы умеете говорить по-английски? (sapete, parlare, inglese);Sapete parlare inglese?
Куда ты хочешь пойти? (vuoi, andare);Dove vuoi andare?
Что ты можешь сделать? (puoi, fare);Cosa puoi fare?
Когда ты можешь прийти? (puoi, venire);Quando puoi venire?
