A22 - Imperativ du-form und ihr-form
Слушай внимательно (du, zuhoren);Hör zu!
Читай книгу (du, lesen);Lies das Buch!
Иди домой (du, gehen);Geh nach Hause!
Говори громче (du, sprechen, laut);Sprich lauter!
Пиши аккуратно (du, schreiben);Schreib sauber!
Ешь суп (du, essen);Iss die Suppe!
Дай мне книгу (du, geben);Gib mir das Buch!
Вставай рано (du, aufstehen);Steh früh auf!
Приходи завтра (du, kommen);Komm morgen!
Помоги мне (du, helfen);Hilf mir!
Смотри (du, sehen);Sieh mal!
Не говори так быстро (du, nicht, sprechen);Sprich nicht so schnell!
Не ешь так много (du, nicht, essen);Iss nicht so viel!
Не приходи поздно (du, nicht, kommen);Komm nicht zu spät!
Не забудь ключи (du, nicht, vergessen, Schlussel);Vergiss die Schlüssel nicht!
Слушайте внимательно (ihr, zuhoren);Hört zu!
Читайте книгу (ihr, lesen);Lest das Buch!
Идите домой (ihr, gehen);Geht nach Hause!
Говорите громче (ihr, sprechen, laut);Sprecht lauter!
Пишите аккуратно (ihr, schreiben);Schreibt sauber!
Ешьте суп (ihr, essen);Esst die Suppe!
Вставайте рано (ihr, aufstehen);Steht früh auf!
Приходите завтра (ihr, kommen);Kommt morgen!
Помогите мне (ihr, helfen);Helft mir!
Начните урок (ihr, anfangen);Fangt an!
Не говорите так быстро (ihr, nicht, sprechen);Sprecht nicht so schnell!
Не ешьте так много (ihr, nicht, essen);Esst nicht so viel!
Не приходите поздно (ihr, nicht, kommen);Kommt nicht zu spät!
Не забудьте ключи (ihr, nicht, vergessen, Schlussel);Vergesst die Schlüssel nicht!
Пойдём домой (wir, gehen);Gehen wir nach Hause!
Давайте начнём (wir, anfangen);Fangen wir an!
