B12 - Pronomi Indiretti
Я (gli) говорю (parlo).;Gli parlo.
Ты (mi) пишешь (scrivi)?;Mi scrivi?
Я (le) звоню (telefono).;Le telefono.
Она (gli) отвечает (risponde).;Gli risponde.
Мы (ti) дарим (regaliamo).;Ti regaliamo.
Я (vi) объясняю (spiego).;Vi spiego.
Вы (ci) помогаете (aiutate).;Ci aiutate.
Я (gli) посылаю (mando).;Gli mando.
Она (le) говорит (dice).;Le dice.
Мы (vi) показываем (mostriamo).;Vi mostriamo.
Ты (mi) спрашиваешь (chiedi)?;Mi chiedi?
Я (gli) советую (consiglio).;Gli consiglio.
Она (ci) верит (crede).;Ci crede.
Мы (ti) предлагаем (proponiamo).;Ti proponiamo.
Я (le) обещаю (prometto).;Le prometto.
Вы (gli) отвечаете (rispondete).;Gli rispondete.
Я (vi) рекомендую (raccomando).;Vi raccomando.
Она (mi) напоминает (ricorda).;Mi ricorda.
Мы (gli) желаем (desideriamo).;Gli desideriamo.
Ты (le) передаёшь (passi).;Le passi.
Я (ci) думаю (penso).;Ci penso.
Она (gli) подходит (si addice).;Gli si addice.
Мы (ti) пишем (scriviamo).;Ti scriviamo.
Я (le) говорю (parlo).;Le parlo.
Вы (ci) звоните (telefonate).;Ci telefonate.
Я (gli) посылаю (spedisco).;Gli spedisco.
Она (vi) доверяет (fida).;Vi fida.
Мы (le) желаем (auguriamo).;Le auguriamo.
Ты (mi) говоришь (racconti).;Mi racconti.
Я (gli) обещаю (giuro).;Gli giuro.
Она (ci) принадлежит (appartiene).;Ci appartiene.
Мы (ti) предлагаем (offriamo).;Ti offriamo.
Я (le) представляю (presento).;Le presento.
Вы (gli) аплодируете (applaudite).;Gli applaudite.
Я (vi) благодарю (ringrazio).;Vi ringrazio.
Она (mi) нужна (serve).;Mi serve.
Мы (gli) разрешаем (permettiamo).;Gli permettiamo.
Ты (le) kilometres?;Le chiedi?
Я (ci) воздаю (rendo).;Ci rendo.
Она (vi) предлагает (propone).;Vi propone.
Мы (ti) сообщаем (comunichiamo).;Ti comunichiamo.
Я (le) советую (consiglio).;Le consiglio.
Вы (gli) улыбаетесь (sorridete).;Gli sorridete.
Она (mi) нравится (piace).;Mi piace.
Мы (ti) помогаем (assistiamo).;Ti assistiamo.
Я (gli) запрещаю (proibisco).;Gli proibisco.
Она (ci) мешает (impedisce).;Ci impedisce.
Мы (le) посвящаем (dedichiamo).;Le dedichiamo.
Ты (mi) возишь (porti).;Mi porti.
Я (vi) предсказываю (predico).;Vi predico.
Она (gli) принадлежит (interessa).;Gli interessa.
Мы (ti) даём (diamo).;Ti diamo.
Я (le) разрешаю (permesso).;Le do il permesso.
Вы (ci) противитесь ( opponete).;Vi opponete.
Она (mi) нравится (piace).;Mi piace.
Мы (gli) вручаем (consegnaamo).;Gli consegnamo.
Ты (le) kilometres?;Le domandi?
Я (vi) показываю (indico).;Vi indico.
Она (ci) угрожает (minaccia).;Ci minaccia.
Мы (ti) возвращаем (restituiamo).;Ti restituiamo.
