C19 - Мета-карта: русские падежи -> итальянские конструкции
Я вижу тебя (vedere).;Ti vedo.
Я вижу его (vedere).;Lo vedo.
Я вижу ее (vedere).;La vedo.
Я вижу их, мужчин (vedere).;Li vedo.
Я вижу их, женщин (vedere).;Le vedo.
Я говорю с тобой (parlare).;Parlo con te.
Я говорю ему (parlare).;Gli parlo.
Я говорю ей (parlare).;Le parlo.
Я думаю об этом (pensare).;Ci penso.
Я иду туда (andare).;Ci vado.
Я беру два из них (prendere).;Ne prendo due.
Книга Марко (libro).;Il libro di Marco.
Его книга (libro).;Il suo libro.
Я иду к врачу (dottore).;Vado dal dottore.
Я иду в Рим (Roma).;Vado a Roma.
Я еду в Италию (Italia).;Vado in Italia.
Это сделано мной (fare).;È fatto da me.
Человек, которого я вижу (uomo).;L'uomo che vedo.
Человек, с которым я говорю (uomo).;L'uomo con cui parlo.
Человек, о котором я думаю (uomo).;L'uomo a cui penso.
Человек, которому я говорю (uomo).;L'uomo a cui parlo.
Человек, у которого я спрашиваю (uomo).;L'uomo a cui chiedo.
Мне нравится (piacere).;Mi piace.
Мне холодно (freddo).;Ho freddo.
Я даю тебе книгу (libro).;Ti do un libro.
Я даю тебе ее, книгу (libro).;Te la do.
Я даю ему книгу (libro).;Gli do un libro.
Я даю ему ее, книгу (libro).;Gliela do.
Я даю ей книгу (libro).;Le do un libro.
Я даю ей ее, книгу (libro).;Gliela do.
Я даю вам книгу (libro).;Vi do un libro.
Я даю вам ее, книгу (libro).;Ve la do.
Я даю им книгу (libro).;Gli do un libro.
Я даю им ее, книгу (libro).;Gliela do.
Чья это книга (libro)?;Di chi è il libro?
Кому ты говоришь (parlare)?;A chi parli?
С кем ты идешь (andare)?;Con chi vai?
О ком ты думаешь (pensare)?;A chi pensi?
Кого ты видишь (vedere)?;Chi vedi?
Откуда ты (venire)?;Da dove vieni?
