работать;work
работа;job
компания;company
дом;home
сообщение;message
начальник;boss
звонить;call
говорить;talk
минута;minute
кино;movies
друг;friend
нравиться;like
сегодня;today
завтрак;breakfast
отдыхать;rest
время;time
тратить;spend
завтра;tomorrow
уходить;leave
такси;taxi
вовремя;on time
вечер;evening
выходные;weekend
прошлая неделя;last week
следующие выходные;next weekend
хороший;good
много;a lot
всегда;always
печь;bake
чёрный;black
беспокоить;bother
брат;brother
строить;build
покупать;buy
торт;cake
машина;car
город;city
приходить;come
день;day
рано;early
электронное письмо;email
английский;english
дорогой;expensive
находить;find
чинить;fix
получать;get
ходить/ехать;go
правительство;government
иметь;have
помогать;help
час;hour
дом (здание);house
приглашать;invite
ключ;key
знать;know
поздно;late
выглядеть;look
делать;make
деньги;money
месяц;month
утро;morning
кино;movie
новый;new
ночь/вечер;night
предложение;offer
офис;office
старый;old
газета;paper
подарок;present
проблема;problem
крыша;roof
сестра;sister
учить/изучать;study
брать/ехать;take
торговать;trade
обычно;usually
хотеть;want
выходные;weekends
