A07 - Domande (W-questions: chi/che/cosa/a-chi/di-chi/con-chi/dove/quando/come/perché/quanto/quale)
Кто ты?;Chi sei?
Кто это?;Chi è quello?
Что ты делаешь?;Cosa fai?
Что это?;Cos'è questo?
О ком ты думаешь?;A chi pensi?
Кому ты звонишь?;A chi telefoni?
Чья это книга?;Di chi è questo libro?
О ком ты говоришь?;Di chi parli?
С кем ты идешь?;Con chi vai?
С кем ты работаешь?;Con chi lavori?
Где ты живешь?;Dove vivi?
Где ты работаешь?;Dove lavori?
Куда ты идешь?;Dove vai?
Откуда ты?;Di dove sei?
Когда ты приедешь?;Quando arrivi?
Когда ты начинаешь?;Quando inizi?
Как тебя зовут?;Come ti chiami?
Как ты?;Come stai?
Как это работает?;Come funziona?
Почему ты плачешь?;Perché piangi?
Почему ты здесь?;Perché sei qui?
Сколько тебе лет?;Quanti anni hai?
Сколько это стоит?;Quanto costa?
Сколько времени?;Che ore sono?
Какой твой адрес?;Qual è il tuo indirizzo?
Какая твоя профессия?;Qual è la tua professione?
Кто ваш учитель?;Chi è il vostro insegnante?
Что вы изучаете?;Cosa studiate?
О ком вы думаете?;A chi pensate?
Чья это машина?;Di chi è questa macchina?
С кем вы разговариваете?;Con chi parlate?
Где вы живете?;Dove abitate?
Когда вы начинаете?;Quando iniziate?
Как вы сюда приходите?;Come arrivate qui?
Почему вы опаздываете?;Perché siete in ritardo?
Сколько вы зарабатываете?;Quanto guadagnate?
Какой ваш любимый цвет?;Qual è il tuo colore preferito?
Кто твой друг?;Chi è il tuo amico?
Что ты хочешь на ужин?;Cosa vuoi per cena?
Где ближайшая станция?;Dove è la stazione più vicina?
Кто твой брат?;Chi è tuo fratello?
Что ты читаешь?;Cosa leggi?
Где твоя сестра?;Dove è tua sorella?
Когда ты обедаешь?;Quando pranzi?
Как ты пишешь?;Come scrivi?
Почему ты учишься?;Perché studi?
Сколько языков ты знаешь?;Quante lingue conosci?
Какой сегодня день?;Che giorno è oggi?
Кто этот человек?;Chi è questa persona?
Что происходит?;Cosa succede?
Где мой телефон?;Dove è il mio telefono?
Когда выходной?;Quando è il giorno libero?
