B02 - Participio Passato (V3 forms -ato/-uto/-ito + irregulars)
Это сделанная работа (lavoro).;È un lavoro fatto.
Это сказанное слово (parola).;È una parola detta.
Это увиденный фильм (film).;È un film visto.
Это прочитанная книга (libro).;È un libro letto.
Это взятый карандаш (matita).;È una matita presa.
Это открытая дверь (porta).;È una porta aperta.
Это закрытое окно (finestra).;È una finestra chiusa.
Это написанное письмо (lettera).;È una lettera scritta.
Это поставленная чашка (tazza).;È una tazza messa.
Это приготовленная еда (cibo).;È il cibo preparato.
Это завершенная задача (compito).;È un compito finito.
Это очищенный стол (tavolo).;È un tavolo pulito.
Это купленные продукты (spese).;Sono le spese comprate.
Это приготовленный обед (pranzo).;È il pranzo preparato.
Это убранная комната (camera).;È la camera pulita.
Это сделанная постель (letto).;È il letto fatto.
Это потерянный ключ (chiave).;È la chiave persa.
Это найденный кошелек (portafoglio).;È il portafoglio trovato.
Это услышанная музыка (musica).;È la musica sentita.
Это взятая книга (libro).;È il libro preso.
Я закончил работу (lavoro).;Ho finito il lavoro.
Мы написали письмо (lettera).;Abbiamo scritto una lettera.
Она приготовила ужин (cena).;Ha preparato la cena.
Он открыл дверь (porta).;Ha aperto la porta.
Они прочитали книгу (libro).;Hanno letto il libro.
Это вставший человек (persona).;È una persona alzata.
Это севшая девушка (ragazza).;È una ragazza seduta.
Это вышедший мужчина (uomo).;È un uomo uscito.
Это вернувшийся мальчик (ragazzo).;È un ragazzo tornato.
Это пришедшая женщина (donna).;È una donna arrivata.
Это умерший старик (vecchio).;È un vecchio morto.
Это родившийся ребенок (bambino).;È un bambino nato.
Это оставшаяся девушка (ragazza).;È una ragazza rimasta.
Это ставшая подруга (amica).;È un'amica diventata.
Это сказанная правда (verità).;È la verità detta.
Это сделанная ошибка (errore).;È un errore fatto.
Это измененный дом (casa).;È una casa cambiata.
Это посещенная страна (paese).;È un paese visitato.
Это прошедший год (anno).;È un anno passato.
Мы поняли правило (regola).;Abbiamo capito la regola.
