B13 - Verbi Riflessivi
Я просыпаюсь в семь утра (sette).;Mi sveglio alle sette di mattina.
Ты просыпаешься поздно (tardi).;Ti svegli tardi.
Он просыпается рано (presto).;Si sveglia presto.
Мы просыпаемся вместе (insieme).;Ci svegliamo insieme.
Они просыпаются в шесть (sei).;Si svegliano alle sei.
Я встаю с кровати (letto).;Mi alzo dal letto.
Ты встаешь сейчас (ora).;Ti alzi ora.
Она встает медленно (lentamente).;Si alza lentamente.
Мы встаем в семь (sette).;Ci alziamo alle sette.
Вы встаете рано (presto).;Vi alzate presto.
Я моюсь каждый день (ogni giorno).;Mi lavo ogni giorno.
Ты моешь руки (mani).;Ti lavi le mani.
Он моет лицо (faccia).;Si lava la faccia.
Она моет волосы (capelli).;Si lava i capelli.
Мы моемся перед едой (mangiare).;Ci laviamo prima di mangiare.
Вы тщательно моетесь (accuratamente).;Vi lavate accuratamente.
Они моются в душе (doccia).;Si lavano nella doccia.
Я одеваюсь быстро (velocemente).;Mi vesto velocemente.
Ты одеваешься сам (solo).;Ti vesti da solo.
Она одевается элегантно (elegantemente).;Si veste elegantemente.
Мы одеваемся тепло (caldo).;Ci vestiamo in modo caldo.
Вы одеваетесь сейчас (ora).;Vi vestite ora.
Они одеваются вместе (insieme).;Si vestono insieme.
Я проснулся в восемь (otto).;Mi sono svegliato alle otto.
Ты проснулась рано (presto).;Ti sei svegliata presto.
Он проснулся поздно (tardi).;Si è svegliato tardi.
Мы проснулись в семь (sette).;Ci siamo svegliati alle sette.
Они проснулись вместе (insieme).;Si sono svegliati insieme.
Я поднялся с кресла (poltrona).;Mi sono alzato dalla poltrona.
Ты поднялась сейчас (ora).;Ti sei alzata ora.
Она поднялась быстро (velocemente).;Si è alzata velocemente.
Мы поднялись рано (presto).;Ci siamo alzati presto.
Я оделся за пять минут (minuti).;Mi sono vestito in cinque minuti.
Ты оделась красиво (bello).;Ti sei vestita in modo bello.
Она оделась тепло (caldo).;Si è vestita in modo caldo.
Мы оделись быстро (velocemente).;Ci siamo vestiti velocemente.
Я должен подняться сейчас (ora).;Devo alzarmi ora.
Ты должна подняться поздно (tardi).;Devi alzarti tardi.
Мы должны подняться вместе (insieme).;Dobbiamo alzarci insieme.
Мы увидимся завтра (domani).;Ci vediamo domani.
