A14 - Verbi Modali
Я должен работать;Devo lavorare
Я должен начать рано;Devo iniziare presto
Я должен учиться;Devo studiare
Я должен пойти домой;Devo andare a casa
Я должен купить хлеб;Devo comprare il pane
Я могу говорить по-итальянски;Posso parlare italiano
Я могу прийти завтра;Posso venire domani
Я могу помочь;Posso aiutare
Я могу приготовить ужин;Posso preparare la cena
Я могу прочитать эту книгу;Posso leggere questo libro
Я хочу есть;Voglio mangiare
Я хочу пить;Voglio bere
Я хочу поехать в Италию;Voglio andare in Italia
Я хочу выучить итальянский;Voglio imparare l'italiano
Я хочу встретить Марко;Voglio incontrare Marco
Я знаю говорить по-итальянски;So parlare italiano
Я умею готовить;So cucinare
Я знаю писать;So scrivere
Я умею водить машину;So guidare
Я знаю читать;So leggere
Ты не должен работать;Non devi lavorare
Ты не должен бояться;Non devi aver paura
Ты не должен опаздывать;Non devi arrivare in ritardo
Ты не можешь прийти;Non puoi venire
Ты не можешь сказать это;Non puoi dire questo
Ты не хочешь есть;Non vuoi mangiare
Ты не хочешь пить;Non vuoi bere
Я не умею делать это;Non so fare questo
Я не умею плавать;Non so nuotare
Мы должны учиться;Dobbiamo studiare
Мы можем встретить Марко;Possiamo incontrare Marco
Мы хотим путешествовать;Vogliamo viaggiare
Мы знаем говорить правду;Sappiamo dire la verità
Вы должны быть здесь;Dovete essere qui
Вы можете помочь;Potete aiutare
Вы хотите кофе?;Volete un caffè?
Вы знаете английский?;Sapete l'inglese?
Куда ты хочешь пойти?;Dove vuoi andare?
Что ты можешь сделать?;Cosa puoi fare?
Когда ты можешь прийти?;Quando puoi venire?
